source,relation,target
Bolsheviks,inspired by,socialist movements
republic,opposes,authoritarian regimes
Bolsheviks,suppressed by,political dissent
transformation,transformed by,Bolsheviks
Tiananmen Square,affected by,political landscape
Romanov dynasty,overthrown by,authoritarian regimes
social justice,pursued by,democracy
oppression,denied by,unalienable rights
Bolsheviks,overthrew,Romanov dynasty
social justice,demands,accountability
political rights,sparked by,Arab Spring
Black Lives Matter,responded to,systemic racism
Russian Revolution,established by,republic
social justice,advocates for,Black Lives Matter
accountability,drives,activism
oppressive regimes,challenged by,Black Lives Matter
strikes,supported by,Bolsheviks
Bolsheviks,initiated by,strikes
Russian Revolution,established by,communist state
systemic racism,exacerbates,police brutality
police brutality,result of,systemic racism
peaceful demonstrations,inspired by,activism
protests,inspired by,Declaration of Independence
oppression,perpetuated by,oppressive regimes
oppressive regimes,challenged by,oppression
socialist movements,influenced by,political dissent
transformation,driven by,socialist movements
Arab Spring,challenged by,authoritarian regimes
social justice,demands,political rights
accountability,fueled by,global movements
accountability,ensures,human rights
authoritarian regimes,opposed by,socialist movements
historical legacy,embodies,human spirit
strikes,inspired by,socialist movements
strikes,includes,protests
violent uprisings,exacerbates,police brutality
political rights,established by,republic
Russian Revolution,inspired by,socialist movements
global movements,exposed by,police brutality
resilience,embodies,liberty
Martin Luther King Jr,advocated for,liberty
accountability,requires,revolutions
just society,sought by,global movements
resilience,inspired by,Declaration of Independence
transformation,enables,accountability
strikes,contributed to,Russian Revolution
Tiananmen Square,met with,political dissent
unalienable rights,underpins,liberty
equality,promotes,democracy
revolutions,exacerbates,police brutality
historical legacy,shaped by,political dissent
unalienable rights,asserted in,Declaration of Independence
ordinary people,mobilized by,Arab Spring
oppressive regimes,restricted by,political rights
political dissent,expressed through,uprisings
Tiananmen Square,met with,strikes
Arab Spring,influenced,historical significance
Arab Spring,inspired by,global movements
political dissent,exacerbates,police brutality
democracy,opposes,communist state
Tiananmen Square,challenges,oppressive regimes
activism,drives,social movements
global movements,advocated by,unalienable rights
uprisings,results in,political change
Russian Revolution,sparked by,protests
Romanov dynasty,overthrew,ordinary people
social justice,promoted by,Martin Luther King Jr
oppression,sustained by,political landscape
ordinary people,inspired by,uprisings
protests,sparked by,Black Lives Matter
police brutality,exacerbated by,historical legacy
monarchy,overthrown by,transformation
political rights,asserted by,Declaration of Independence
social movements,influenced by,Declaration of Independence
protests,challenged by,Tiananmen Square
Black Lives Matter,opposes,authoritarian regimes
oppression,perpetuated by,social justice
systemic racism,enforced by,oppressive regimes
Bolsheviks,overthrew,authoritarian regimes
equality,results in,political change
authoritarian regimes,maintained by,oppression
peaceful demonstrations,fosters,social movements
republic,established by,transformation
uprisings,inspired by,Arab Spring
Tiananmen Square,resulted in,oppression
Romanov dynasty,overthrown by,political change
unalienable rights,supports,democracy
monarchy,upheld by,human rights
unalienable rights,inspired by,Black Lives Matter
