id,label
adaptability,adaptability
adhesive substance,adhesive substance
adjustments,adjustments
anchor line,anchor line
building process,building process
complex phenomenon,complex phenomenon
construction process,construction process
construction technique,construction technique
egg sacs,egg sacs
elastic material,elastic material
fascinating creatures,fascinating creatures
food sources,food sources
framework structure,framework structure
hunting grounds,hunting grounds
immobilization,immobilization
instinctual behavior,instinctual behavior
intricate webs,intricate webs
location selection,location selection
mating rituals,mating rituals
precision,precision
prey capture,prey capture
prey capture mechanism,prey capture mechanism
protein molecules,protein molecules
radial lines,radial lines
resourcefulness,resourcefulness
signal line,signal line
silk production,silk production
silk properties,silk properties
silk strength,silk strength
skill,skill
spider movement,spider movement
spiders,spiders
spinnerets,spinnerets
spiral lines,spiral lines
sticky silk,sticky silk
structural integrity,structural integrity
tension testing,tension testing
trap line,trap line
trap prey,trap prey
unique abilities,unique abilities
vibrations,vibrations
web construction,web construction
web design,web design
web shape,web shape
web-building,web-building
