id,label
agricultural residues,agricultural residues
bioenergy,bioenergy
biofuels,biofuels
biogas,biogas
building integration,building integration
clean alternatives,clean alternatives
clean energy,clean energy
climate change,climate change
constant energy,constant energy
drive turbines,drive turbines
economic opportunities,economic opportunities
efficiency improvements,efficiency improvements
electricity generation,electricity generation
energy efficiency,energy efficiency
energy innovation,energy innovation
energy resources,energy resources
energy security,energy security
energy storage,energy storage
energy systems,energy systems
energy technology,energy technology
energy transition,energy transition
enhanced geothermal systems,enhanced geothermal systems
environmental impact,environmental impact
environmental protection,environmental protection
fossil fuels,fossil fuels
geothermal energy,geothermal energy
geothermal heat pumps,geothermal heat pumps
geothermal power plants,geothermal power plants
government incentives,government incentives
greenhouse gas emissions,greenhouse gas emissions
grid infrastructure,grid infrastructure
heat generation,heat generation
heating and cooling,heating and cooling
hot water,hot water
human timescale,human timescale
hydropower,hydropower
kinetic energy,kinetic energy
organic materials,organic materials
performance improvements,performance improvements
photovoltaic cells,photovoltaic cells
policy support,policy support
potential applications,potential applications
reliable power source,reliable power source
renewable energy,renewable energy
research and development,research and development
solar energy,solar energy
solar panels,solar panels
stakeholder engagement,stakeholder engagement
steam,steam
sustainable energy,sustainable energy
technological advancements,technological advancements
underground reservoirs,underground reservoirs
utility-scale solar,utility-scale solar
waste biomass,waste biomass
wind power,wind power
