id,label
TV shows,TV shows
afterlife possibility,afterlife possibility
awe and wonder,awe and wonder
belief,belief
belief complexity,belief complexity
books,books
childhood beliefs,childhood beliefs
comfort,comfort
continuity,continuity
cultural beliefs,cultural beliefs
cultural factors,cultural factors
cultural history,cultural history
encounters,encounters
environmental factors,environmental factors
exposure,exposure
fear of unknown,fear of unknown
feeling presence,feeling presence
fiction,fiction
folklore significance,folklore significance
ghost stories,ghost stories
ghostly encounters,ghostly encounters
ghostly presence,ghostly presence
ghosts,ghosts
human imagination,human imagination
human tendency,human tendency
immortality,immortality
impactful experiences,impactful experiences
legends,legends
meaning and connection,meaning and connection
movies,movies
mysteries of supernatural,mysteries of supernatural
paranormal beliefs,paranormal beliefs
paranormal entities,paranormal entities
past connection,past connection
perceptions,perceptions
personal experiences,personal experiences
physical realm,physical realm
popular culture,popular culture
psychological factors,psychological factors
psychological needs,psychological needs
reassurance,reassurance
religious teachings,religious teachings
seeing apparitions,seeing apparitions
shaping beliefs,shaping beliefs
skepticism,skepticism
skeptics dismiss,skeptics dismiss
solace in mortality,solace in mortality
spirits watching over,spirits watching over
spiritual connection,spiritual connection
spiritual influence,spiritual influence
supernatural,supernatural
superstition,superstition
tradition influence,tradition influence
traditions and folklore,traditions and folklore
unexplained noises,unexplained noises
unexplained phenomena,unexplained phenomena
validation,validation
