source,relation,target,speaker,role
Anglo-Saxons,influenced by,diverse cultures,,none
diverse cultures,shaped by,Anglo-Saxons,,none
language adaptation,has,1.5 billion speakers,,none
historical linguistics,studies,language history,,none
vocabulary changes,influenced by,Early Modern English,,none
vocabulary changes,influences,grammar,,none
English language,leads to,dialect development,,none
language adaptation,adapts to,language history,,none
lingua franca,results in,language mixing,,none
language influence,affects,communication,,none
resilience,benefits from,1.5 billion speakers,,none
language mixing,causes,language transformation,,none
language history,informs,vocabulary,,none
business,facilitates,cultural exchange,,none
complex grammar,describes,Old English,,none
English language,shaped by,cultural influences,,none
grammar,developed into,Middle English,,none
language evolution,shaped by,cultural influences,,none
language influence,reflects,linguistic heritage,,none
1.5 billion speakers,shaped by,cultural influences,,none
language resilience,supports,complex grammar,,none
language influence,drives,language evolution,,none
Middle English,evolved from,Old English,,none
language history,impacts,Norman Conquest,,none
historical linguistics,enables,international communication,,none
language influence,influences,language mixing,,none
standardization,promotes,cultural exchange,,none
diplomacy,involves,language mixing,,none
language influence,derived from,French influence,,none
language diversity,affects,grammar,,none
standardization,enabled by,technology,,none
language diversity,requires,language adaptation,,none
Australian English,is a part of,linguistic heritage,,none
language diversity,influences,vocabulary,,none
American English,is a part of,linguistic heritage,,none
grammar,affects,dialect development,,none
language diversity,influences,vocabulary changes,,none
1.5 billion speakers,is spoken by,dialects,,none
language evolution,involves,pronunciation,,none
Anglo-Saxons,contributed to,vocabulary,,none
English literature,foundation of,Old English,,none
grammar,influenced by,Anglo-Saxons,,none
global language,shaped by,cultural influences,,none
technology,enhanced by,global language,,none
adaptability,facilitates,communication,,none
Indian English,enables,communication,,none
inflected language,characterized by,diplomacy,,none
grammar,affects,pronunciation,,none
British Empire,influenced by,adaptability,,none
global language,serves as,lingua franca,,none
technology,integrated with,entertainment,,none
British Empire,shaped by,Indian English,,none
British Empire,promotes,global language,,none
English language,includes,dialects,,none
technology,advances,science,,none
printing press,facilitated by,international communication,,none
English language,defined by,grammar,,none
French influence,influenced by,Indian English,,none
science,shaped by,linguistic heritage,,none
pronunciation,influences,global language,,none
entertainment,affected by,language transformation,,none
Old Norman,evolved into,Early Modern English,,none
linguistic heritage,contributes to,historical events,,none
Indian English,enhanced by,adaptability,,none
English literature,influenced by,diplomacy,,none
grammar,results in,language mixing,,none
technology,supports,communication,,none
Old English,exemplified by,Canterbury Tales,,none
British Empire,shaped by,entertainment,,none
printing press,transformed by,language transformation,,none
English language,documents,language history,,none
pronunciation shifts,influences,historical linguistics,,none
diplomacy,facilitates,global language,,none
linguistic heritage,is a part of,Old English,,none
linguistic heritage,shapes,technology,,none
French influence,influences,historical events,,none
pronunciation shifts,affects,science,,none
Indian English,influenced by,Australian English,,none
inflected language,characterized by,English language,,none
complex grammar,defined by,Australian English,,none
British Empire,influenced by,technology,,none
technology,drives,language evolution,,none
inflected language,is characterized by,language evolution,,none
vocabulary,shaped by,diverse cultures,,none
Indian English,derived from,Old English,,none
inflected language,is a feature of,1.5 billion speakers,,none
Indian English,functions as,lingua franca,,none
diplomacy,influenced by,entertainment,,none
French influence,influences,Old English,,none
Indian English,influenced by,American English,,none
complex grammar,is a result of,language adaptation,,none
complex grammar,characterized by,American English,,none
French influence,affects,technology,,none
language resilience,demonstrates,Indian English,,none
Old English,is a study of,historical linguistics,,none
linguistic heritage,is a part of,lingua franca,,none
linguistic heritage,contributes to,British Empire,,none
English language,is a characteristic of,language diversity,,none
British Empire,influenced by,French influence,,none
Geoffrey Chaucer,authored,Canterbury Tales,,none
Canterbury Tales,literary work of,Geoffrey Chaucer,,none
vocabulary changes,resulted from,Great Vowel Shift,,none
cultural exchange,facilitated by,entertainment,,none
Anglo-Saxons,influenced,English language,,none
technology,contributes to,language resilience,,none
Anglo-Saxons,led to,language mixing,,none
cultural exchange,enhances,communication,,none
Anglo-Saxons,developed into,inflected language,,none
inflected language,originated from,Anglo-Saxons,,none
adaptability,facilitated by,printing press,,none
Indian English,enabled by,printing press,,none
English language,evolved from,Old English,,none
printing press,facilitates,communication,,none
Middle English,transitioned to,Early Modern English,,none
global language,is a type of,Indian English,,none
Australian English,influences,vocabulary,,none
technology,facilitates,international communication,,none
diverse cultures,shapes,cultural influences,,none
vocabulary,is a type of,American English,,none
