source,relation,target
foraging behavior,influenced by,environmental health
environmental health,requires,foraging behavior
foraging behavior,is a result of,environmental health
habitat restoration,supports,plant populations
habitat restoration,is impacted by,plant populations
pesticide use,affected by,dependence
dependence,provides,pesticide use
biodiversity,enhances,dependence
dependence,influences,biodiversity
pollinator services,provides,food crops
pollinator services,supports,food crops
habitat restoration,provides,nesting sites
nesting sites,is affected by,habitat restoration
fertilization,contributes to,ecosystem health
fertilization,poses risks to,ecosystem health
climate change,impacts,dependence
climate change,is caused by,dependence
habitat restoration,encourages,incentives
habitat restoration,is supported by,incentives
hand pollination,requires,protection
protection,is essential for,hand pollination
economic value,affects,ecosystem health
economic value,facilitates,ecosystem health
pesticide use,threatened by,environmental health
environmental health,supports,pesticide use
nesting sites,threatened by,threats
threats,is vital for,nesting sites
almonds,depends on,dependence
dependence,creates challenges for,almonds
agriculture,supports,wildlife survival
agriculture,requires,wildlife survival
protection,ensures,vital role
protection,is essential for,vital role
climate change,affected by,environmental health
environmental health,is critical for,climate change
incentives,influenced by,threats
food crops,depends on,economic value
nesting sites,provides for,ecosystems
pollination,facilitates,almonds
wildlife survival,threatens,decline
dependence,depends on,food security
hand pollination,requires,fruits
foraging behavior,supports,almonds
legislation,regulated by,crop production
seeds,supports,plant populations
incentives,benefits from,ecosystems
foraging behavior,impacted by,threats
habitat restoration,increases,production costs
vital role,enhances,ecosystem health
environmental health,influences,crop production
pollinator services,provides,vital role
plant species,comprises,plant populations
food crops,enhanced by,quality
seeds,contributes to,ecosystem stability
diseases,threatened by,pollinator services
protection,ensures,sustainable food
bee-friendly flowers,supports,plant populations
plant populations,supports,wildlife survival
fertilization,enables,plant species
nesting sites,provides for,agricultural produce
bee-friendly flowers,benefits from,food security
habitat restoration,depends on,blueberries
food security,depends on,blueberries
biodiversity,threatens,decline
bees,is crucial for,importance
threats,threatened by,fertilization
bee-friendly flowers,contributes to,ecosystem stability
incentives,incentivizes,agricultural produce
protection,affects,yield
apples,depends on,dependence
protection,supports,plant populations
economic value,supports,plant species
ecosystem health,enhances,sustainable farming
nesting sites,increases,production costs
bees,affects,quality
bees,provides,bee-friendly flowers
production costs,is impacted by,ecosystem stability
plant populations,influences,yield
plant populations,depends on,fruits
incentives,is supported by,importance
pollination,is facilitated by,apples
incentives,is influenced by,production costs
hand pollination,is compared to,quality
ecosystem stability,is supported by,blueberries
fertilization,leads to,fruits
almonds,threatens,decline
habitat loss,is caused by,yield
climate change,is affected by,ecosystems
production costs,increases,seeds
fertilization,is influenced by,quality
pesticide use,increases,production costs
production costs,is influenced by,foraging behavior
economic value,is dependent on,food security
food crops,supports,plant species
agriculture,is significant for,importance
fruits,is derived from,economic value
seeds,is necessary for,bee-friendly flowers
economic value,promotes,legislation
fertilization,leads to,genetic diversity
agriculture,supports,quality
seeds,produces,blueberries
blueberries,affects,pesticide use
genetic diversity,contributes to,ecosystems
plant populations,threatens,habitat loss
diseases,impacts,fertilization
plant species,depends on,blueberries
bee-friendly flowers,supports,blueberries
crop production,produces,seeds
sustainable food,enhances,quality
food crops,includes,fruits
crop production,affects,pesticide use
decline,results from,quality
genetic diversity,supports,biodiversity
blueberries,increases,production costs
ecosystems,affects,quality
economic value,depends on,sustainable farming
crop production,supports,ecosystems
crop production,produces,agricultural produce
economic value,increases,seeds
yield,affects,quality
blueberries,produces,yield
incentives,supports,biodiversity
pollinator services,benefits,blueberries
habitat loss,caused by,quality
nesting sites,requires,fertilization
sustainable farming,enhanced by,food crops
bees,needs,protection
food crops,depends on,pollination
hand pollination,replaces,conservation
climate change,affected by,ecosystem health
economic value,provides,protection
threats,threatened by,food security
nesting sites,enhances,economic value
bees,supports,plant species
crop production,contributes to,cherries
ecosystem health,improves,protection
almonds,depends on,quality
