source,relation,target,speaker,role
velocipede,caused by,accidents,,none
innovation,inspired,electric bikes,,none
pneumatic tires,enhances,transportation,,none
boneshaker,influenced by,innovation,,none
velocipede,supported by,endurance,,none
pneumatic tires,demonstrates,human ingenuity,,none
innovation,resulted in,high-wheel bicycle,,none
adoption,increased,electric bikes,,none
competitive sport,is a form of,Tour de France,,none
carbon fiber,enhanced by,transportation,,none
performance,impacts,accidents,,none
velocipede,evolved from,boneshaker,,none
performance,measured by,endurance,,none
accidents,causes,high-wheel bicycle,,none
high-wheel bicycle,improves,efficiency,,none
velocipede,developed into,transportation,,none
safety bicycle,reduced by,accidents,,none
adoption,driven by,human ingenuity,,none
safety bicycle,enhanced by,endurance,,none
comfort,impacts,accidents,,none
chain drive,facilitates,adoption,,none
carbon fiber,improves,safety bicycle,,none
comfort,enhanced by,endurance,,none
Tour de France,featured in,high-wheel bicycle,,none
20th century,introduced,safety bicycle,,none
safety bicycle,enhanced by,efficiency,,none
carbon fiber,enhances,comfort,,none
comfort,influences,efficiency,,none
safety bicycle,improved by,transportation,,none
human ingenuity,enhances,performance,,none
performance,benefits from,human ingenuity,,none
ride dynamics,influences,cycling popularity,,none
technological advancements,shapes,rider preferences,,none
penny-farthing,evolved from,boneshaker,,none
boneshaker,predecessor of,penny-farthing,,none
safety bicycle,provides,eco-friendly option,,none
sustainable transport,contributes to,cycling popularity,,none
carbon fiber,increases,cycling popularity,,none
innovation,enhances,performance improvement,,none
safety bicycle,inspired by,commuter cycling,,none
technological development,facilitates,urban mobility,,none
boneshaker,influenced by,societal impact,,none
bicycle evolution,promotes,leisure activity,,none
efficiency,drives,cycling popularity,,none
transport evolution,advances,materials advancement,,none
ride safety,enhanced by,cycling popularity,,none
commuter cycling,provides,stability,,none
urban mobility,influences,propulsion,,none
racing machines,driven by,technological development,,none
ride dynamics,enables,propulsion,,none
boneshaker,demonstrates,human ingenuity,,none
cycling milestones,marks,ride safety,,none
competitive sport,evolves from,design evolution,,none
accidents,caused by,ride dynamics,,none
cycling milestones,influenced by,ride experience,,none
rider preferences,adopted by,carbon fiber,,none
technological advancements,shapes,transport evolution,,none
sustainable transport,transforms,design transformation,,none
safety bicycle,enhanced by,agility,,none
chain drive,affects,societal impact,,none
transportation,enhances,urban mobility,,none
endurance,influenced by,ride experience,,none
lightweight frames,contributes to,cycling popularity,,none
transport evolution,drives,carbon fiber,,none
cycling milestones,enhances,urban mobility,,none
technological advancements,influences,Tour de France,,none
innovation,inspired,velocipede,,none
velocipede,resulted from,innovation,,none
design transformation,provides,eco-friendly option,,none
sustainable transport,enables,propulsion,,none
technological development,increases,cycling popularity,,none
human ingenuity,improves,comfort,,none
accidents,caused by,sustainable transport,,none
performance,improves,ride safety,,none
commuter cycling,enhances,comfort,,none
sustainable transport,affects,ride safety,,none
ride experience,influences,performance,,none
sustainable transport,improves,efficiency,,none
early prototypes,inspired,societal impact,,none
bicycle evolution,shaped,societal impact,,none
carbon fiber,enhances,ride safety,,none
steel frames,contributed to,cycling popularity,,none
ride dynamics,enables,chain drive,,none
carbon fiber,increases,efficiency,,none
efficiency,enhanced by,carbon fiber,,none
transport evolution,drives,technological development,,none
efficiency,results in,design transformation,,none
early prototypes,influenced,electric bikes,,none
early prototypes,preceded,boneshaker,,none
performance improvement,marks,cycling milestones,,none
aluminum bikes,enhances,agility,,none
transportation,increases,cycling popularity,,none
bicycle evolution,influenced,commuter cycling,,none
safety bicycle,replaced,boneshaker,,none
velocipede,led to,bicycle history,,none
steel frames,influences,ride experience,,none
performance improvement,contributes to,velocipede,,none
cycling culture,shapes,bike styles,,none
bike styles,influenced by,racing machines,,none
cycling culture,affects,titanium alternatives,,none
19th century,produced,early prototypes,,none
technological development,drives,design transformation,,none
bicycle evolution,influenced,19th century,,none
pneumatic tires,enhances,recreational cycling,,none
aluminum bikes,supports,urban mobility,,none
titanium alternatives,influenced,competitive sport,,none
pneumatic tires,enhances,safety bicycle,,none
propulsion,leads to,design transformation,,none
chain drive,influenced,bicycle history,,none
agility,resulted in,design transformation,,none
ride safety,enhances,urban mobility,,none
commuter cycling,improves,ride safety,,none
sustainable transport,influences,bike styles,,none
eco-friendly option,provides,accidents,,none
ride experience,supports,urban mobility,,none
