id,label
Earth perspective,Earth perspective
Earth views,Earth views
astronaut life,astronaut life
astronaut training,astronaut training
beauty of Earth,beauty of Earth
bone loss,bone loss
boundaries pushing,boundaries pushing
challenges,challenges
cleaning chores,cleaning chores
collaboration,collaboration
communication,communication
crew coordination,crew coordination
crew dynamics,crew dynamics
crew health,crew health
crew interactions,crew interactions
crew living conditions,crew living conditions
crew morale,crew morale
crew responsibilities,crew responsibilities
crew socialization,crew socialization
crew well-being,crew well-being
daily routine,daily routine
daily tasks,daily tasks
day's activities,day's activities
dedication,dedication
dedication to health,dedication to health
dedication to science,dedication to science
demanding job,demanding job
down time,down time
engagement,engagement
essential tasks,essential tasks
evening routine,evening routine
exercise regimen,exercise regimen
experiment conduction,experiment conduction
exploration drive,exploration drive
extraordinary experiences,extraordinary experiences
final check-in,final check-in
fitness importance,fitness importance
groundbreaking research,groundbreaking research
health and well-being,health and well-being
health maintenance,health maintenance
human knowledge,human knowledge
intelligence,intelligence
maintenance duties,maintenance duties
maintenance work,maintenance work
meal preparation,meal preparation
mealtime breaks,mealtime breaks
mental health,mental health
mental well-being,mental well-being
microgravity effects,microgravity effects
mission control,mission control
mission control check-in,mission control check-in
mission instructions,mission instructions
mission objectives,mission objectives
mission success,mission success
morning briefing,morning briefing
muscle loss,muscle loss
mysteries of universe,mysteries of universe
operational efficiency,operational efficiency
orchestration of activities,orchestration of activities
passion for exploration,passion for exploration
personal reflection,personal reflection
personal time,personal time
physical condition,physical condition
physical exertion,physical exertion
physical fitness,physical fitness
relaxation,relaxation
resilience,resilience
rewards,rewards
routine checks,routine checks
sacrifices,sacrifices
scientific experiments,scientific experiments
scientific research,scientific research
skills testing,skills testing
sleep preparation,sleep preparation
sleeping quarters,sleeping quarters
space challenges,space challenges
space environment,space environment
space exploration,space exploration
space living,space living
space station operations,space station operations
specialized equipment,specialized equipment
system maintenance,system maintenance
task completion,task completion
task management,task management
task prioritization,task prioritization
task variety,task variety
teamwork,teamwork
unique experiences,unique experiences
unique profession,unique profession
work assignments,work assignments
work-life balance,work-life balance
