source,relation,target,speaker,role
assertiveness,enhances,meaningful interactions,,none
facial expressions,enhances,communication,,none
leaning in,establishes,rapport,,none
gestures,informs,cultural cues,,none
cultural cues,informs,social interactions,,none
mirroring gestures,influences,social interactions,,none
rapport,enhances,meaningful interactions,,none
eye contact,facilitates,conflict resolution,,none
facial expressions,conveys,emotions,,none
rapport,supports,conflict resolution,,none
gestures,improves,effectiveness,,none
cultural cues,informs,posture,,none
assertiveness,enhances,social interactions,,none
connections,supports,effectiveness,,none
gestures,informs,proxemics,,none
body language,enhances,clarity,,none
cultural cues,informs,nonverbal cues,,none
social interactions,enhances,engagement,,none
mirroring gestures,signals,attraction,,none
leaning in,facilitates,communication,,none
confidence,indicates,subtle cues,,none
discomfort,indicates,subtle cues,,none
body language,comprises,posture,,none
rapport,enhances,confidence,,none
discomfort,creates discomfort for,rapport,,none
proxemics,influences smiling,smiling,,none
nonverbal cues,is expressed through,body language,,none
insecurity,is affected by insecurity in,connections,,none
engagement,is influenced by,emotions,,none
posture,enhances understanding of,understanding,,none
meaningful interactions,fosters intimacy in,intimacy,,none
subtle cues,builds rapport through,rapport,,none
attraction,signals attraction through,facial expressions,,none
conflict resolution,facilitates conflict resolution via,nodding,,none
nonverbal cues,enhances understanding of,understanding,,none
intimacy,is expressed through,communication,,none
gestures,is conveyed through,communication,,none
cultural cues,is indicated by defensiveness in,defensiveness,,none
mirroring gestures,is enhanced by,eye contact,,none
conflict resolution,is supported by,proxemics,,none
mirroring gestures,strengthens relationships through,relationships,,none
subtle cues,enhances,clarity,,none
body language,indicates,disinterest,,none
authority,projects,assertiveness,,none
intimacy,signals,effectiveness,,none
leaning in,affects,posture,,none
rapport,enhances,clarity,,none
intimacy,signals,signals,,none
leaning in,influences,dynamics,,none
understanding,impedes,disinterest,,none
defensiveness,indicates,subtle cues,,none
leaning in,affects,social interactions,,none
signals,conveys,relationships,,none
cultural cues,is influenced by cultural cues in,understanding,,none
body language,expresses,defensiveness,,none
confidence,indicates,clarity,,none
discomfort,signals,clarity,,none
nonverbal cues,demonstrates,assertiveness,,none
posture,informs,proxemics,,none
facial expressions,signals,eye contact,,none
mirroring gestures,establishes,rapport,,none
meaningful interactions,enhances meaningful interactions through,emotions,,none
relationships,influences,facial expressions,,none
engagement,indicates,attraction,,none
nodding,affects,dynamics,,none
confidence,indicates,facial expressions,,none
nodding,indicates,subtle cues,,none
conflict resolution,improves communication in,communication,,none
dynamics,informs,proxemics,,none
attraction,signals,relationships,,none
disinterest,reflects,authority,,none
connections,influences,emotions,,none
confidence,indicates,smiling,,none
gestures,represents,nonverbal cues,,none
gestures,affects,dynamics,,none
assertiveness,reflects,disinterest,,none
gestures,influences,social interactions,,none
nonverbal cues,facilitates conflict resolution through,conflict resolution,,none
eye contact,indicates,nodding,,none
smiling,signals,attraction,,none
posture,conveys,authority,,none
nonverbal cues,enhances,engagement,,none
facial expressions,builds,rapport,,none
leaning in,enhances meaningful interactions by,meaningful interactions,,none
body language,expresses,smiling,,none
disinterest,indicates,nonverbal cues,,none
assertiveness,contrasts with,defensiveness,,none
leaning in,signals,signals,,none
nonverbal cues,projects,authority,,none
confidence,is indicated by cultural cues in,cultural cues,,none
engagement,demonstrates,eye contact,,none
discomfort,is indicated by cultural cues in,cultural cues,,none
insecurity,contrasts with,authority,,none
engagement,influences,relationships,,none
mirroring gestures,enhances,effectiveness,,none
meaningful interactions,is enhanced by,eye contact,,none
mirroring gestures,complements,nodding,,none
engagement,boosts,confidence,,none
social interactions,reflects,emotions,,none
mirroring gestures,establishes,proxemics,,none
assertiveness,demonstrates,understanding,,none
conflict resolution,is resolved by,defensiveness,,none
confidence,supports,relationships,,none
nonverbal cues,influences,leaning in,,none
conflict resolution,affects dynamics of,dynamics,,none
cultural cues,is influenced by cultural cues in,communication,,none
discomfort,indicates,relationships,,none
leaning in,signals,attraction,,none
clarity,enhances,nodding,,none
gestures,enhances meaningful interactions through,meaningful interactions,,none
insecurity,suggests,nonverbal cues,,none
gestures,conveys,signals,,none
intimacy,contrasts with,insecurity,,none
cultural cues,is influenced by cultural cues in,effectiveness,,none
engagement,builds,rapport,,none
disinterest,indicates,defensiveness,,none
clarity,is clarified by cultural cues in,cultural cues,,none
authority,contrasts with,defensiveness,,none
subtle cues,expresses,smiling,,none
facial expressions,enhances,effectiveness,,none
cultural cues,is conveyed through cultural cues in,signals,,none
relationships,builds,rapport,,none
discomfort,indicates,emotions,,none
facial expressions,indicates,nodding,,none
communication,encompasses,body language,,none
rapport,enhances,smiling,,none
nodding,is reciprocated by,smiling,,none
insecurity,is indicated by,disinterest,,none
facial expressions,is influenced by,proxemics,,none
dynamics,influences,posture,,none
eye contact,complements,smiling,,none
posture,affects,social interactions,,none
relationships,enhances,clarity,,none
