id,label
2600 BC,2600 BC
8x8 grid,8x8 grid
Backgammon,Backgammon
Chaturanga,Chaturanga
Checkers,Checkers
Chinese Chess,Chinese Chess
Clue,Clue
Go,Go
India,India
Industrial Revolution,Industrial Revolution
Monopoly,Monopoly
Renaissance,Renaissance
Royal Game of Ur,Royal Game of Ur
Scrabble,Scrabble
Senet,Senet
Sumerians,Sumerians
Tric-Trac,Tric-Trac
Xiangqi,Xiangqi
Zhou Dynasty,Zhou Dynasty
accessibility,accessibility
afterlife,afterlife
ancient China,ancient China
ancient Egyptian game,ancient Egyptian game
ancient Mesopotamia,ancient Mesopotamia
ancient civilizations,ancient civilizations
ancient games,ancient games
appeal,appeal
beloved pastime,beloved pastime
board game evolution,board game evolution
board games,board games
calculation,calculation
chess,chess
commoners,commoners
community engagement,community engagement
competition,competition
digital age,digital age
distinctive layout,distinctive layout
education,education
elite status,elite status
engagement,engagement
entertainment,entertainment
fun,fun
future evolution,future evolution
game evolution,game evolution
game history,game history
game of chance,game of chance
game significance,game significance
grid of squares,grid of squares
history,history
innovation,innovation
journey of the soul,journey of the soul
leisure,leisure
leisure activities,leisure activities
mass production,mass production
medieval period,medieval period
modern adaptations,modern adaptations
modern chess,modern chess
modern enthusiasts,modern enthusiasts
nobility,nobility
online platforms,online platforms
pieces,pieces
players,players
popular board game,popular board game
printing technology,printing technology
religious significance,religious significance
rich history,rich history
royal tombs,royal tombs
skill and luck,skill and luck
social dynamics,social dynamics
social interaction,social interaction
strategic depth,strategic depth
strategic skill,strategic skill
strategic thinking,strategic thinking
strategy,strategy
tabletop gaming,tabletop gaming
territory control,territory control
throwing sticks,throwing sticks
unique gameplay,unique gameplay
unique movements,unique movements
vibrant community,vibrant community
