source,relation,target
theories,influences,historical debates
historical debates,shaped by,theories
rich resources,leads to,corruption
corruption,results in,cataclysm
concrete evidence,sparks,Atlantic Ocean
Atlantic Ocean,is influenced by,concrete evidence
corruption,caused by,downfall
greed,fuels,rich resources
inspiration,stems from,enduring mystery
powerful civilization,possesses,resources
Antarctica,discovered in,swallowed by sea
wonder,drives,cultural fascination
mystery,inspires,lost civilization
legendary island,inspired by,ancient myths
hubris,contributes to,historical debates
remnants,associated with,lost civilization
advanced civilization,evokes,enduring mystery
utopia,inspired by,imagination
military power,possesses,imagination
mystery,fuels,imagination
utopia,results from,moral decline
imagination,warns against,hubris
cultural fascination,explores,Timaeus
military power,associated with,moral decline
hubris,exacerbated by,moral decline
cataclysm,discussed in,historical debates
catastrophic event,informs,civilization theories
inspiration,driven by,concrete evidence
myth,inspired,dialogues
ancient Greece,serves as,cautionary tale
cultural fascination,influences,civilization theories
catastrophic event,leads to,utopia
Antarctica,speculated in,historical debates
Critias,contributes to,historical debates
downfall,resulted in,dialogues
legendary island,embodies,advanced knowledge
greed,teaches,philosophical lessons
advanced knowledge,informed by,historical context
dialogues,captures,cultural fascination
skepticism,questioned by,historical context
lost civilization,serves as,cautionary tale
ancient Greece,illustrates,hubris
cautionary tale,illustrates,remnants
lost civilization,drives,expeditions
wonder,results in,catastrophic event
swallowed by sea,described in,legendary tales
Atlantic Ocean,associated with,wonder
imagination,generates,theories
imagination,inspired by,Critias
military power,possesses,remnants
fascination,captivates,destruction
myth,is a type of,concrete evidence
imagination,provides,resources
theories,is associated with,catastrophic event
corruption,is affected by,advanced civilization
resources,is a resource for,moral decline
Timaeus,is mentioned in,Atlantic Ocean
advanced knowledge,is inspired by,fascination
wonder,is affected by,destruction
trace,is referenced in,Critias
noble people,is associated with,Mediterranean Sea
debate,sparks,Antarctica
cultural fascination,is characterized by,power-hungry
enduring mystery,is a result of,swallowed by sea
cultural fascination,fuels,debate
civilization theories,is theorized about,Atlantic Ocean
philosophical lessons,is a lesson about,noble people
Antarctica,is discussed in,dialogues
enduring mystery,is linked to,disappearance
technology,creates,captivating story
ancient myths,describes,lost civilization
philosophical lessons,is a lesson about,dramatic event
captivating story,is about,legendary island
remnants,is a subject of,mystery
ancient Greece,provides,resources
ancient myths,offers,advanced knowledge
legendary tales,exemplifies,military power
skepticism,is met with,ancient myths
fascination,is driven by,power-hungry
swallowed by sea,is a result of,legendary island
fascination,sparks,debate
debate,inspired by,fascination
swallowed by sea,resulted in,historical context
wonder,evokes,power-hungry
dialogues,discusses,location theories
debate,provoked by,wonder
historical debates,contributes to,enduring mystery
swallowed by sea,explained by,concrete evidence
greed,caused,downfall
theories,informs,location theories
resources,provides,remnants
greed,drives,cultural fascination
dialogues,shapes,legend
ancient myths,illustrates,moral decline
dramatic event,associated with,concrete evidence
hubris,informs,location theories
trace,leaves no,greed
Timaeus,discussed in,location theories
theories,informs,legend
ancient myths,provides context for,historical context
mystery,serves as,cautionary tale
catastrophic event,explains,location theories
mystery,drives,expeditions
ancient myths,includes,Atlantis
imagination,stimulates,curiosity
hubris,informs,legend
lost civilization,possesses,rich resources
power-hungry,driven by,debate
powerful civilization,led to,downfall
Mediterranean Sea,discussed by,Plato
imagination,inspired by,Plato
Atlantic Ocean,located near,Pillars of Hercules
Strait of Gibraltar,sought by,expeditions
advanced civilization,described in,dialogues
Atlantic Ocean,sparked by,debate
Mediterranean Sea,associated with,myth
Atlantis,located in,Atlantic Ocean
military power,possessed by,legendary island
military power,associated with,concrete evidence
hubris,linked to,concrete evidence
catastrophic event,prompted,expeditions
rich resources,supported,powerful civilization
theories,sparked,enduring mystery
cautionary tale,inspired,cultural fascination
captivating story,depicts,lost civilization
legendary island,resulted from,moral decline
ancient Greece,influenced,historical debates
remnants,mentioned in,dialogues
skepticism,met with,captivating story
Timaeus,provided by,resources
cultural fascination,exemplifies,military power
Timaeus,described in,destruction
location theories,contributes to,debate
corruption,caused by,utopia
historical context,discussed in,Critias
disappearance,associated with,trace
Atlantic Ocean,caused by,destruction
Critias,mentioned in,concrete evidence
Timaeus,described in,dramatic event
technology,associated with,advanced civilization
cautionary tale,serves as,ancient myths
powerful civilization,is represented as,legend
skepticism,doubts about,remnants
remnants,subject of skepticism,skepticism
cataclysm,is affected by,noble people
myth,inspires,curiosity
curiosity,result of myth,myth
legendary tales,evokes,curiosity
Timaeus,is referenced in,rich resources
mystery,is associated with,rich resources
dramatic event,caused by,cataclysm
cataclysm,result of dramatic event,dramatic event
power-hungry,is driven by,advanced knowledge
technology,is connected to,legendary tales
Timaeus,is discussed in,civilization theories
destruction,provides,inspiration
advanced knowledge,sparks,debate
legendary island,provides,resources
resources,source of resources,legendary island
catastrophic event,results in,downfall
resources,is influenced by,historical context
ancient myths,exhibits,military power
Atlantic Ocean,is located in,rich resources
resources,affects,corruption
cultural fascination,drives,theories
location theories,creates,enduring mystery
hubris,warns against,ancient myths
downfall,is caused by,ancient Greece
civilization theories,is analyzed in,rich resources
imagination,is inspired by,ancient Greece
Plato,discusses,civilization theories
Atlantis,is linked to,advanced knowledge
noble people,motivates,inspiration
cataclysm,is a result of,rich resources
cataclysm,is explained by,civilization theories
cautionary tale,inspired by,expeditions
expeditions,result of cautionary tale,cautionary tale
philosophical lessons,leads to,expeditions
inspiration,inspires,dramatic event
trace,is linked to,ancient Greece
corruption,is influenced by,dialogues
lost civilization,leads to,downfall
downfall,result of lost civilization,lost civilization
fascination,drives,theories
advanced knowledge,is explained by,destruction
civilization theories,proposed location of,Antarctica
cultural fascination,drives cultural fascination of,lost civilization
advanced civilization,located near,Strait of Gibraltar
Strait of Gibraltar,location of advanced civilization,advanced civilization
destruction,victim of,noble people
rich resources,serves as inspiration for,inspiration
skepticism,doubts about,expeditions
expeditions,subject of skepticism,skepticism
dramatic event,resulted in,destruction
destruction,consequence of dramatic event,dramatic event
resources,caused by,power-hungry
power-hungry,result of resources,resources
ancient myths,mentioned in,Critias
legendary tales,describes,legendary island
imagination,inspires,lost civilization
lost civilization,result of imagination,imagination
rich resources,contributes to,advanced knowledge
curiosity,evokes,Atlantis
Atlantis,result of Atlantis,curiosity
catastrophic event,resulted from,lost civilization
Mediterranean Sea,inspired by,legend
concrete evidence,elicits,curiosity
Plato,described by,legendary island
cataclysm,resulted in,lost civilization
technology,enhances,concrete evidence
power-hungry,caused by,downfall
debate,sparks,downfall
Timaeus,mentioned in,advanced civilization
Plato,created by,Atlantis
Atlantic Ocean,associated with,advanced civilization
expeditions,inspired by,trace
advanced civilization,associated with,Mediterranean Sea
resources,provides,Atlantic Ocean
legend,linked to,remnants
downfall,leads to,mystery
curiosity,stimulates,wonder
technology,enhances,wonder
greed,influences,concrete evidence
