source,relation,target
species indicators,indicators of,plant reproduction
soil enrichment,enriches,ecosystem functions
habitat loss,threatened by,protection of habitats
habitat support,supports,conservation importance
biological control,enhances,genetic diversity
plant interactions,facilitates,seed dispersal
bird roles,performed by,natural pest control
pollination,promotes,vegetation growth
plant regeneration,influences,plant-pollinator relationships
soil enrichment,improves,habitat quality
ecosystem health,benefits from,protection of habitats
marine environments,supports,biodiversity
seabirds,promotes,genetic diversity
monitoring,indicates,distributions
insect populations,facilitates,seed dispersal
conservation importance,supports,bird populations
ecosystem resilience,enhances,plant species
seabirds,contributes to,habitat protection
habitat protection,supports,forest biodiversity
environmental indicators,defines,bird roles
ecosystem resilience,threatens,habitat loss
ecosystem health,depends on,resilience
soil enrichment,enhances,pest control
protection of habitats,promotes,genetic diversity
ecosystem functions,influences,shifts in populations
ecosystem stability,contributes to,forest health
biological control,benefits from,plant species
protection of habitats,facilitates,ecological processes
biological control,impedes,habitat loss
vegetation health,affects,biodiversity decline
food webs,supports,resilience
bird populations,influences,bird roles
ecosystem resilience,contributes to,distributions
soil enrichment,improves,ecosystem quality
bird populations,affects,environmental impact
habitat quality,determines,ecosystem health
resilience,informs,conservation importance
natural balance,maintains,ecosystem resilience
bird populations,enhances,seed dispersal
forest biodiversity,supports,plant populations
conservation importance,ensures,ecosystem stability
protection of habitats,reduces,chemical pesticides
plant populations,supports,environmental health
ecosystem quality,enhances,ecosystem resilience
soil enrichment,enriches,nutrient cycling
nutrient cycling,is cycled by,soil enrichment
fruit production,facilitates,seed dispersal
seed dispersal,is produced by,fruit production
bird roles,supports,ecosystem stability
ecosystem stability,is supported by,bird roles
natural pest control,promotes,vegetation health
vegetation health,is promoted by,natural pest control
health of ecosystems,supports,plant species
soil enrichment,enhances,forest biodiversity
forest biodiversity,is enhanced by,soil enrichment
health of ecosystems,affects,habitat loss
vegetation growth,enables,seed dispersal
seed dispersal,is enabled by,vegetation growth
plant populations,supports,bird species
insect populations,contributes to,nutrient cycling
ecosystem quality,indicates,bird populations
bird populations,enhances,genetic diversity
bird roles,controlled by,insect populations
seabirds,contributes to,ecological contributions
pollination,facilitates,fruit and seeds
vegetation growth,supports,bird populations
seabirds,enhances,forest health
species indicators,indicates,insect populations
conservation importance,supports,biodiversity
conservation efforts,maintains,ecological balance
habitat dynamics,influences,shifts in populations
plant reproduction,promotes,plant growth
plant regeneration,supports,food webs
health of ecosystems,depends on,ecosystem services
protection of habitats,enhances,resilience
nutrient cycling,influences,fruit production
plant populations,supports,species indicators
plant regeneration,affects,environmental health
seabirds,provides,pest control
habitat support,supports,ecosystem stability
fruit production,enhances,vegetation growth
shifts in populations,informs,bird roles
ecological processes,affects,vegetation health
biodiversity,contributes to,bird roles
environmental indicators,indicates,environmental health
conservation importance,maintains,ecological balance
plant species,facilitates,seed dispersal
ecological contributions,enhances,genetic diversity
plant populations,supports,environmental stability
soil enrichment,enhances,pollination
protection of habitats,contributes to,ecological contributions
plant diversity,influences,environmental health
seabirds,supports,ecosystem stability
environmental impact,affects,biodiversity
climate change,impacts,biodiversity
ecological balance,threatens,biodiversity decline
ecological contributions,promotes,vegetation growth
plant populations,supports,vegetation health
ecosystem functions,facilitates,plant growth
plant diversity,enhances,resilience
conservation importance,influences,animal interactions
plant regeneration,enables,pest control
seed dispersal,facilitates,distributions
seed dispersal,supports,vegetation health
environmental stability,contributes to,forest health
ecosystem quality,affects,ecological balance
