source,relation,target
educational support,supports,grammars
grammars,is dependent on,educational support
language empowerment,enhances,language functionality
language functionality,is facilitated by,language empowerment
community fragmentation,informs,language loss
language loss,is enriched by,community fragmentation
activism,is utilized in,communication
communication,is based on,activism
language erosion,enhances,community members
community members,is supported by,language erosion
cultural practices,is documented by,thriving languages
thriving languages,is enhanced by,cultural practices
cultural richness,is supported by,local involvement
local involvement,is enriched by,cultural richness
language teaching,supports,cultural heritage
linguistic diversity,enhances,dictionaries
dictionaries,is documented by,linguistic diversity
future generations,strengthens,language advocacy
language advocacy,is bolstered by,future generations
linguistic heritage,reflects,human creativity
language teaching,is facilitated by,expression
language loss,results in,social structures
social structures,is addressed by,language loss
linguistic heritage,is influenced by,language functionality
language functionality,is impacted by,linguistic heritage
language documentation,is enhanced by,human creativity
human creativity,is expressed through,language documentation
minority languages,is threatened by,dictionaries
revitalization programs,is expressed through,language learning
language learning,is supported by,revitalization programs
linguistic heritage,is influenced by,social structures
language documentation,is countered by,activism
activism,is mitigated by,language documentation
language extinction,is supported by,language marginalization
language marginalization,is informed by,language extinction
reclaim heritage,is facilitated by,language advocacy
language advocacy,is enhanced by,reclaim heritage
educational resources,is a challenge for,language advocacy
language advocacy,is a consequence of,educational resources
grammars,is essential for,future generations
language resources,is informed by,cultural practices
human creativity,is inspired by,community
linguistic heritage,contributes to,linguistic diversity
language extinction,enables,empower speakers
expression,is expressed through,grammars
language resources,affects,self-esteem
expression,is a form of,communication
endangered languages,encodes,ecological knowledge
spiritual beliefs,is supported by,empower speakers
cultural assimilation,diminishes,cultural richness
activism,supports,endangered languages
community,enhances,collaborative efforts
educational initiatives,influences,expression
unique understanding,provides,expression
global challenges,challenges,language empowerment
dictionaries,facilitates,community support
self-esteem,affects,pressing concerns
language replacement,results in,linguistic support
language empowerment,is influenced by,pressing concerns
community,informs,ecological knowledge
activism,enhances,support efforts
dictionaries,is created by,collaborative efforts
community engagement,enables,reclaim heritage
global challenges,is impacted by,linguistic heritage
language preservation,is expressed through,expression
cultural identity,threatens,language abandonment
promote languages,requires,local involvement
pressing concerns,is influenced by,linguistic heritage
language survival,supports,thriving languages
language teaching,is taught through,ecological knowledge
media representation,is represented by,language extinction
educational resources,provides,language marginalization
community engagement,promotes,language learning
language resources,aids in,documenting languages
capacity building,supports,heritage preservation
linguistic diversity,shapes,identity
cultural practices,strengthens,community resilience
