source,relation,target,speaker,role
confusion,influences,public perception,,none
mass media,contributes to,misinformation,,none
hoaxes,shapes,history,,none
Han van Meegeren,seeks,profit,,none
academic rigor,challenges,Han van Meegeren,,none
misinformation,causes,misleading,,none
public fascination,influences,Social Text,,none
Sokal Affair,exposed by,postmodernism,,none
hoaxes,misleads,misleading,,none
truth,undermines,forgery,,none
public imagination,shapes,historical narratives,,none
academic rigor,requires,vigilance,,none
cultural critique,critiques,fake news,,none
Sokal Affair,analyzes,critical analysis,,none
impact on society,influences,mass media,,none
artistic deception,is a form of,authenticity,,none
vigilance,exploits,manipulation,,none
mass hysteria,stimulates,public imagination,,none
transformative hermeneutics,published in,Social Text,,none
artistic deception,is influenced by,intellectual discourse,,none
cultural critique,influences,public imagination,,none
deception,is a result of,public imagination,,none
hoaxes,is related to,postmodernism,,none
postmodernism,misleads,misleading,,none
panic,caused,fiction,,none
misinformation,exposed by,transformative hermeneutics,,none
Sokal Affair,shaped,historical narratives,,none
critical analysis,is analyzed by,confusion,,none
critical analysis,sparks,debate,,none
cultural critique,shapes,history,,none
debate,involves,intellectual discourse,,none
cultural critique,questions,evolutionary theory,,none
Han van Meegeren,is an example of,artistic deception,,none
manipulation,motivates,profit,,none
validity,questioned by,profit,,none
profit,exploited by,truth,,none
public fascination,drives,profit,,none
War of the Worlds,resulted in,panic,,none
fake news,drives,manipulation,,none
transformative hermeneutics,examined in,Sokal Affair,,none
Sokal Affair,challenged by,scientific community,,none
mass media,fuels,public fascination,,none
mythologies,profited from,profit,,none
manipulation,sparks,debate,,none
public fascination,is a form of,misleading,,none
academic rigor,requires,critical thinking,,none
deception,deceives,truth,,none
forgery,misled by,scientific community,,none
skepticism,questions,authenticity,,none
scientific rigor,lacks,forgery,,none
artistic deception,is affected by,vigilance,,none
experts,evaluated by,authenticity,,none
mythologies,debated,debate,,none
mythologies,manipulated by,deception,,none
transformative hermeneutics,generates,profit,,none
history,shaped by,public perception,,none
experts,is informed by,intellectual discourse,,none
mass media,analyzes,hoax analysis,,none
debate,promotes,critical thinking,,none
impact on society,results in,exposure,,none
confusion,creates,transformative hermeneutics,,none
fake news,drives,public fascination,,none
