source,relation,target
technological advancements,influenced,mass-produced housing
societal norms,reflects,wealth and status
cultural influences,influences,social hierarchy
technological advancements,shapes,societal norms
modernist movement,inspired by,modern amenities
smart homes,emerged from,Industrial Revolution
ancient civilizations,existed during,ancient times
smart homes,enhances,home significance
home significance,is significant for,smart homes
indoor outdoor integration,promotes,green building
design evolution,influenced by,smart technology
design evolution,is evolved by,traditional dwellings
organized societies,facilitates,smart technology
design elements,influences,home design
architecture history,utilizes,rainwater harvesting
smart homes,provides,modern amenities
energy-efficient,contributes to,design evolution
refuge and rest,provides,modern home
settled communities,offers,modern amenities
refuge and rest,serves as,apartment buildings
domestic life,reflects,American Dream
urbanization,drives,home design changes
functional spaces,emerged during,Middle Ages
home significance,is significant for,manor house
home design changes,influences,American Dream
grand homes,shapes,domestic life
refuge and rest,provides,traditional dwellings
Middle Ages,influenced by,ancient architecture
cultural influences,affects,home layout
home design changes,is shaped by,functional spaces
smart homes,reflects,evolution
community structures,developed during,Middle Ages
refuge and rest,provides,energy-efficient
suburban community,influenced by,ancient architecture
settled communities,is part of,evolution
modern home,defines,home layout
community structures,influences,home design changes
manor house,is associated with,traditional dwellings
early humans,is related to,traditional dwellings
functions of home,is a part of,American Dream
building materials,supports,organized societies
organized societies,determines,design elements
indoor outdoor integration,is driven by,urbanization
passive solar design,informs,home layout
domestic life,enhances,natural light
sustainable design,influences,home design
political life,influences,community structures
community structures,shaped by,political life
political life,affects,home significance
settled communities,shapes,cultural influences
Industrial Revolution,drives,design evolution
home significance,originates from,ancient times
religious life,influences,organized societies
settled communities,contributes to,design evolution
political life,undergoes,evolution
cultural influences,shapes,functional spaces
functional spaces,provides,ancient times
sustainable design,drives,home design changes
modern home,includes,functional spaces
ancient architecture,originates from,ancient times
indoor outdoor integration,promotes,sustainable design
technological advancements,drives,design evolution
ancient civilizations,influences,community structures
traditional dwellings,affects,religious life
community structures,provides context for,ancient times
fortified homes,features,elaborate architecture
traditional dwellings,includes,functional spaces
refuge and rest,reflects,social hierarchy
domestic life,serves as,home as symbol
building materials,influences,home design changes
Industrial Revolution,transforms,home layout
ancient architecture,influences,ancient civilizations
energy-efficient,enhances,functional spaces
traditional dwellings,incorporates,renewable energy
smart homes,utilizes,rainwater harvesting
manor house,influenced by,technological advancements
early humans,preceded by,technological advancements
green building,includes,modern amenities
rainwater harvesting,reflects,evolution
modern home,features,open floor plans
evolution,influenced by,ancient civilizations
suburban community,associated with,energy-efficient
modernist movement,shapes,design elements
urbanization,drives,mass-produced housing
manor house,inspired by,open floor plans
green building,contributes to,evolution
apartment buildings,enhances,natural light
sustainable design,integrates,smart technology
ancient times,originated in,building materials
Middle Ages,influenced,home layout
home layout,shaped,political life
refuge and rest,provided,early humans
smart homes,promotes,energy-efficient
indoor outdoor integration,influenced,organized societies
smart homes,influences,modernist movement
apartment buildings,derived from,indoor outdoor integration
energy-efficient,utilizes,natural light
rainwater harvesting,contributed to,design evolution
modernist movement,inspired,settled communities
traditional dwellings,defined by,functions of home
ancient civilizations,influenced,design evolution
technological advancements,shapes,home design
smart homes,incorporates,renewable energy
settled communities,integrated with,renewable energy
modern amenities,enhanced,home significance
modern home,defined by,functions of home
traditional dwellings,influenced,societal norms
technological advancements,shaped,functional spaces
modernist movement,influenced by,manor house
indoor outdoor integration,influenced,home design
Industrial Revolution,emerges from,suburban community
technological advancements,enhanced,renewable energy
ancient civilizations,derived from,apartment buildings
architecture,influenced,sustainable design
open floor plans,characterized by,home design
religious life,centered around,ancient times
smart technology,integrated with,apartment buildings
home significance,enhanced by,domestic life
grand homes,influenced,community structures
energy-efficient,enhanced by,open floor plans
cultural influences,symbolizes,home as symbol
modernist movement,influenced,open floor plans
smart technology,integrated with,traditional dwellings
urbanization,shaped,community structures
home design changes,influenced,manor house
smart homes,represents,American Dream
smart homes,incorporates,open floor plans
political life,influenced by,functions of home
functional spaces,defined by,open floor plans
grand homes,represents,home significance
home significance,is symbolized by,grand homes
home as symbol,embodies,home significance
American Dream,influences,community structures
community structures,is shaped by,American Dream
sustainable design,contrasts with,mass-produced housing
modern home,is represented by,home as symbol
settled communities,features,open floor plans
ancient civilizations,is influenced by,energy-efficient
rainwater harvesting,affects,home layout
energy-efficient,integrates with,smart technology
home layout,is influenced by,ancient civilizations
architecture history,includes,elaborate architecture
renewable energy,is supported by,open floor plans
Industrial Revolution,transformed,technological advancements
grand homes,provides,modern amenities
technological advancements,drives,suburban community
ancient architecture,shapes,community structures
functionality,reflects,social hierarchy
refuge and rest,provides,home design
modernist movement,is influenced by,Middle Ages
political life,is supported by,energy-efficient
political life,is influenced by,modernist movement
urbanization,enhances,modern amenities
elaborate architecture,is characterized by,natural light
traditional dwellings,symbolizes,home as symbol
ancient civilizations,influences,rainwater harvesting
functions of home,defines,home significance
cultural values,shapes,design evolution
natural light,is enhanced by,Industrial Revolution
American Dream,embodies,modern amenities
sustainable design,influences,ancient architecture
indoor outdoor integration,integrates,Middle Ages
building materials,facilitates,mass-produced housing
refuge and rest,influences,modernist movement
architecture,reflects,wealth and status
architecture history,influences,traditional dwellings
domestic life,influenced by,evolution
modern home,incorporates,design elements
indoor outdoor integration,reflects,home design changes
modern amenities,enhanced by,ancient architecture
design evolution,affects,home layout
building materials,shapes,societal norms
traditional dwellings,illuminates,natural light
open floor plans,characterizes,suburban community
domestic life,influences,indoor outdoor integration
grand homes,reflects,evolution
green building,utilizes,rainwater harvesting
passive solar design,informs,design elements
social hierarchy,indicates,home significance
cultural influences,influences,elaborate architecture
urbanization,drives,evolution
traditional dwellings,informs,design elements
building materials,utilizes,indoor outdoor integration
refuge and rest,provides,cultural values
ancient architecture,informs,building materials
architecture,represents,manor house
American Dream,influences,evolution
evolution,is shaped by,American Dream
evolution,precedes,ancient times
modern home,features,elaborate architecture
wealth and status,reflects,design evolution
architecture history,shapes,natural light
technological advancements,illuminates,natural light
ancient architecture,evolves into,evolution
urbanization,influences,social hierarchy
cultural values,reflects,manor house
American Dream,is influenced by,social hierarchy
indoor outdoor integration,drives,technological advancements
cultural values,influences,early humans
architecture,enhances,functionality
functional spaces,indicates,social hierarchy
cultural values,shapes,home layout
ancient architecture,informs,social hierarchy
modern amenities,incorporates,passive solar design
rainwater harvesting,influences,modernist movement
building materials,supports,green building
Industrial Revolution,drives,smart technology
modernist movement,is influenced by,ancient civilizations
open floor plans,enhances,natural light
community structures,reflects,social hierarchy
urbanization,shapes,cultural influences
early humans,reflects,wealth and status
fortified homes,symbolizes,wealth and status
home significance,illustrates,design evolution
American Dream,is shaped by,cultural influences
rainwater harvesting,is a practice of,renewable energy
functionality,is a characteristic of,manor house
functionality,is a feature of,early humans
sustainable design,includes,modern amenities
modern amenities,reflects,wealth and status
technological advancements,influences,ancient civilizations
technological advancements,enables,smart technology
architecture,defines,home design
Industrial Revolution,transforms,design elements
modern amenities,integrates,rainwater harvesting
sustainable design,is influenced by,evolution
cultural values,shapes,home design
evolution,leads to,mass-produced housing
smart homes,features,design elements
open floor plans,enhances,smart technology
cultural values,is reflected in,religious life
cultural values,influences,modernist movement
early humans,influenced by,urbanization
modern amenities,enhances,functionality
rainwater harvesting,utilizes,domestic life
apartment buildings,provides,modern amenities
energy-efficient,enhances,community structures
manor house,includes,functional spaces
urbanization,influences,home layout
early humans,provided by,functional spaces
wealth and status,reflects,elaborate architecture
energy-efficient,reflects,home significance
American Dream,represents,home layout
functions of home,indicates,wealth and status
modernist movement,shapes,wealth and status
rainwater harvesting,utilizes,home as symbol
settled communities,influences,elaborate architecture
functions of home,shapes,settled communities
home layout,comprises,functional spaces
manor house,informs,design elements
refuge and rest,transforms,smart technology
early humans,provided by,community structures
functionality,guides,home design
modern amenities,emerges from,organized societies
social hierarchy,determines,building materials
architecture,drives,home design changes
home layout,influences,ancient architecture
energy-efficient,enhances,modern amenities
traditional dwellings,contrasts with,smart homes
community structures,defines,home layout
manor house,influences,elaborate architecture
functions of home,incorporates,rainwater harvesting
home as symbol,symbolizes,political life
refuge and rest,provides,societal norms
traditional dwellings,influences,settled communities
Industrial Revolution,transforms,modern home
traditional dwellings,marks,evolution
design elements,affects,home layout
sustainable design,shapes,design evolution
indoor outdoor integration,characterizes,mass-produced housing
smart homes,represents,modern home
building materials,informs,sustainable design
energy-efficient,contributes to,evolution
home design,reflects,home significance
settled communities,represents,modern home
functions of home,defines,functionality
ancient times,shapes,home design changes
organized societies,influences,home as symbol
Industrial Revolution,affects,political life
building materials,influences,design evolution
indoor outdoor integration,characterizes,fortified homes
renewable energy,influences,home design
home design,integrates,smart technology
societal norms,influences,suburban community
societal norms,drives,home design changes
functionality,enhances,smart technology
building materials,influences,home design
ancient civilizations,developed by,fortified homes
sustainable design,utilizes,renewable energy
cultural influences,shapes,organized societies
evolution,evolved from,open floor plans
traditional dwellings,influenced by,green building
architecture,produced,mass-produced housing
modern amenities,provides,refuge and rest
building materials,includes,energy-efficient
building materials,influenced,modernist movement
Industrial Revolution,inspired,passive solar design
apartment buildings,developed from,modern home
social hierarchy,reflects,indoor outdoor integration
building materials,creates,functional spaces
wealth and status,reflects,suburban community
technological advancements,shapes,cultural influences
political life,drives,urbanization
organized societies,adopted by,passive solar design
smart homes,incorporates,passive solar design
building materials,supports,renewable energy
home significance,enhances,smart technology
ancient architecture,influenced by,architecture
refuge and rest,reflects,evolution
indoor outdoor integration,shapes,cultural influences
modernist movement,influenced,apartment buildings
design elements,represented by,wealth and status
social hierarchy,determines,home design
renewable energy,integrates with,smart technology
suburban community,supports,building materials
ancient times,reflects,elaborate architecture
energy-efficient,influences,modernist movement
functionality,enhances,suburban community
ancient times,precedes,modernist movement
functionality,is a feature of,mass-produced housing
Industrial Revolution,promotes,rainwater harvesting
ancient times,shapes,societal norms
wealth and status,embodies,manor house
grand homes,includes,design elements
urbanization,drives,design elements
smart homes,enhances,functionality
Middle Ages,was influenced by,passive solar design
suburban community,is a feature of,religious life
technological advancements,enables,rainwater harvesting
grand homes,features,elaborate architecture
suburban community,influences,home design
architecture,includes,modern amenities
urbanization,influences,elaborate architecture
renewable energy,supports,mass-produced housing
green building,incorporates,fortified homes
domestic life,shapes,cultural values
domestic life,influences,societal norms
settled communities,emerges from,organized societies
apartment buildings,developed from,settled communities
open floor plans,incorporates,rainwater harvesting
traditional dwellings,evolved from,grand homes
ancient architecture,influences,elaborate architecture
political life,reflects,wealth and status
ancient times,traces back to,architecture history
mass-produced housing,influenced by,elaborate architecture
modernist movement,influenced,mass-produced housing
modern home,evolved from,grand homes
refuge and rest,determines,home layout
organized societies,influenced by,manor house
functions of home,is influenced by,cultural values
home design changes,drives,design evolution
functions of home,reflects,societal norms
American Dream,embodies,modern home
cultural values,shapes,evolution
ancient civilizations,utilized by,building materials
rainwater harvesting,complements,passive solar design
building materials,integrated with,smart technology
rainwater harvesting,incorporates,refuge and rest
societal norms,influences,mass-produced housing
ancient civilizations,utilized by,natural light
technological advancements,drives,energy-efficient
technological advancements,influences,modernist movement
suburban community,influences,home design changes
political life,is shaped by,functionality
social hierarchy,defined by,ancient times
building materials,serves as,home as symbol
religious life,influences,indoor outdoor integration
green building,incorporates,passive solar design
sustainable design,influences,design elements
Industrial Revolution,shaped by,American Dream
indoor outdoor integration,is characterized by,energy-efficient
Industrial Revolution,led to,open floor plans
indoor outdoor integration,is influenced by,modernist movement
American Dream,is associated with,political life
indoor outdoor integration,creates,functional spaces
organized societies,is influenced by,Middle Ages
wealth and status,associated with,ancient civilizations
indoor outdoor integration,incorporates,renewable energy
architecture,is a part of,design evolution
urbanization,affects,home significance
home as symbol,symbolizes,apartment buildings
American Dream,represents,home significance
sustainable design,influences,elaborate architecture
home design changes,affects,home layout
smart homes,is influenced by,home design changes
functional spaces,defines,home significance
home design,determines,home layout
fortified homes,reflects,social hierarchy
wealth and status,associated with,green building
technological advancements,influences,open floor plans
natural light,utilized in,mass-produced housing
rainwater harvesting,enhances,functionality
urbanization,influenced by,grand homes
ancient civilizations,enhances,functionality
natural light,reflects,cultural values
natural light,provides,societal norms
social hierarchy,influenced by,modern amenities
ancient times,preceded by,suburban community
elaborate architecture,enhances,modern amenities
renewable energy,drives,evolution
energy-efficient,informs,design elements
