source,relation,target
natural barriers,act as,fragile habitats
tourism,attracts,coastal areas
commercially important fish,support,local fisheries
sustainable fishing,provides,coastal protection
local efforts,benefits from,future generations
future generations,supports,local efforts
local fisheries,depends on,habitat preservation
coastal communities,provides,coastal protection
livelihood support,contributes to,global food security
natural barriers,provides,ecosystem protection
rising sea temperatures,threatened by,habitat for species
coastal areas,achieves,erosion prevention
national policies,enhances,ecosystem resilience
livelihood support,benefits from,future generations
natural barriers,provides,erosion prevention
awareness raising,supports,food security
local efforts,facilitated by,erosion prevention
habitat preservation,impacts,environmental stressors
urgent action,requires,ecosystem management
pollution,benefits from,storm mitigation
coral reefs,is protected by,ecosystem protection
marine resources,supports,habitat preservation
overfishing,causes,environmental impact
ecosystem services,contributes to,ecosystem resilience
coastal areas,benefits from,livelihood support
local efforts,impacts,destructive practices
local economies,benefits from,habitat preservation
tourism,plays,integral role
destructive practices,is affected by,environmental impact
international cooperation,enhances,ecosystem services
habitat preservation,is supported by,integral role
international cooperation,facilitates,local efforts
marine tourism,promotes,conservation efforts
conservation management,benefits from,future generations
climate change,requires,sustainable practices
commercially important fish,supports,marine tourism
threats,threatens,livelihood support
awareness raising,contributes to,erosion prevention
coral health,affects,greenhouse gas emissions
coastal areas,is supported by,ecosystem protection
international cooperation,enhances,livelihood support
overfishing,contributes to,sustainable practices
marine resources,enhances,ecosystem resilience
habitat for species,supports,ecosystem resilience
livelihood support,boosts,marine tourism
health of oceans,threatens,coral bleaching
local economies,contributes to,ecosystem resilience
marine ecosystems,protects,ecosystem protection
destructive practices,undermines,sustainable practices
marine tourism,supports,ecosystem protection
awareness raising,promotes,habitat preservation
livelihood support,requires,urgent action
marine protected areas,facilitates,conservation management
marine resources,depletes,destructive practices
conservation management,complicates,destructive practices
awareness raising,supports,marine protected areas
erosion prevention,aids in,marine tourism
urgent need,highlights,ecosystem protection
awareness raising,enhances,coastal protection
ecosystem resilience,supports,local fisheries
health of oceans,affects,habitat for species
international cooperation,enhances,marine resources
international cooperation,improves,conservation management
water quality,improves,sustainable practices
erosion prevention,mitigates,water quality
livelihood support,provides,sustainable fishing
storm mitigation,facilitates,awareness raising
destructive practices,exacerbates,environmental stressors
erosion prevention,contributes to,pollution
environmental impact,influences,storm mitigation
awareness raising,raises,pollution
marine tourism,supports,marine protected areas
livelihood support,plays,integral role
coastal protection,provides,marine tourism
coastal communities,raises,awareness raising
livelihood support,supports,local economies
global food security,benefits from,storm mitigation
commercially important fish,plays,integral role
awareness raising,benefits from,human well-being
environmental impact,impacts,human well-being
habitat preservation,contributes to,tourism
coral reefs,is supported by,ecosystem resilience
coral bleaching,provides,habitat for species
climate change,is influenced by,storm mitigation
pollution,is affected by,marine tourism
future generations,requires,ecosystem management
ecosystem protection,supports,local economies
marine ecosystems,is dependent on,health of oceans
biodiversity,affects,coral health
future generations,requires,international cooperation
local efforts,is addressed by,agricultural runoff
overfishing,is influenced by,international cooperation
habitat preservation,threatens,threats
coral health,supports,habitat for species
erosion prevention,is aided by,global food security
tourism,enhances,ecosystem resilience
natural barriers,raises,awareness raising
environmental impact,is impacted by,natural barriers
global food security,is supported by,sustainable practices
national policies,is shaped by,commercially important fish
marine biodiversity,is influenced by,health of oceans
threats,is threatened by,storm mitigation
international cooperation,is needed for,destructive practices
livelihood support,provides,ecosystem services
livelihood support,is enhanced by,local efforts
erosion prevention,is necessary for,urgent action
coral health,is vital for,coral reefs
local fisheries,depends on,urgent need
coastal communities,impacts,threats
marine life,supports,biodiversity
threats,threatened by,human well-being
coastal communities,enhances,marine biodiversity
ocean acidification,affects,marine life
sustainable fishing,promotes,conservation efforts
tourism,benefits from,commercially important fish
coastal protection,requires,conservation efforts
climate change,affected by,natural barriers
climate change,threatens,global food security
natural barriers,surrounds,coastal areas
urgent action,is necessary for,coastal protection
urgent action,depends on,human well-being
overfishing,impacts,tourism
coastal areas,supports,marine ecosystems
marine ecosystems,includes,marine biodiversity
coastal communities,is enriched by,biodiversity
marine biodiversity,is a type of,biodiversity
natural barriers,supports,marine ecosystems
natural barriers,is challenged by,threats
coastal areas,is vital for,marine biodiversity
local economies,supports,food security
greenhouse gas emissions,is influenced by,global food security
commercially important fish,is sustained by,marine resources
sustainable fishing,is enhanced by,human well-being
marine life,affects,coral bleaching
overfishing,is a consequence of,threats
pollution,affects,water quality
ocean acidification,is impacted by,biodiversity
natural barriers,requires,urgent action
climate change,poses risks to,threats
conservation efforts,is addressed by,environmental stressors
local economies,is supported by,human well-being
biodiversity,supports,coastal areas
climate change,necessitates,urgent need
marine resources,requires,conservation efforts
food security,depends on,future generations
local economies,benefits from,conservation efforts
ecosystem services,provides,marine life
natural barriers,mitigates,ocean acidification
fragile habitats,threatened by,rising sea temperatures
local fisheries,supports,global food security
