source,relation,target
Olympic legacy,reflects,medal stripping
motto,embodies,Olympic legacy
spirit,embodies,motto
motto,inspired by,spirit
Olympic Games,includes,newer sports
athlete representation,influences,legacy
competition,drives,newer sports
unity,represents,cultural significance
athletes,affects,historical challenges
Olympic Games,faces,modern challenges
1896,occurred in,sporting history
modern Olympics,represents,global phenomenon
growth,contributes to,modern Olympics
symbol,contradicts,controversy
unity in diversity,promotes,respect
religion,worshipped by,Zeus
global phenomenon,encompasses,sports
historical challenges,challenges,excellence
revival,led to,respect
sporting legacy,influences,newer sports
political disputes,leads to,boycotts
competition,drives,athlete activism
international participation,fosters,unity in diversity
sportsmanship,serves as,inspiration
Theodosius,abolished by,pagan festival
Athens,occurred in,Games significance
nations,provides,global platform
modern Olympics,represents,excellence
sporting legacy,influences,athlete activism
sporting event,includes,events
international participation,supports,growth
international participation,contributes to,global phenomenon
celebration,celebrated by,sportsmanship
legacy,affects,competition integrity
Athens,hosted,events
athletes,influenced,event evolution
diversity,enhances,international relations
growth,shapes,sporting legacy
expansion,contributes to,Olympic legacy
diversity,promotes,fair play
1896,occurred in,ancient Greece
respect,influences,newer sports
international participation,represents,athletes
achievement,diminishes,medal stripping
evolution,shapes,future Olympics
celebration,embodies,sporting legacy
unity in diversity,enhances,athlete representation
unity in diversity,is supported by,achievement
athlete representation,influences,events
fair play,promotes,Coubertin
medal stripping,is affected by,international cooperation
inspiration,motivates,Citius Altius Fortius
nations,facilitates,expansion
Games significance,is represented by,athletes
sporting legacy,is defined by,competition
cultural impact,influences,international participation
social issues,presents,modern challenges
global phenomenon,represents,Olympic legacy
respect,drives,athlete activism
spirit,shapes,sporting history
Olympic spirit,is enhanced by,expansion
global platform,supports,expansion
values,defines,sporting legacy
global unity,includes,newer sports
celebration,represents,Olympic legacy
unity in diversity,provides,global platform
athletes,influences,future Olympics
growth,influences,nations
Theodosius,ended by,tradition
competition integrity,promotes,unity
international participation,fosters,understanding
Olympic legacy,influences,political affiliation
international relations,affects,events
international participation,drives,social change
modern Olympics,transformed into,pagan festival
medal stripping,highlights,modern challenges
international cooperation,embodies,Olympic spirit
modern challenges,exacerbates,motto
international cooperation,serves as,global platform
Olympic legacy,is a result of,excellence
Athens,hosted by,ancient Olympics
Games significance,enhances,understanding
achievement,contributes to,international relations
city-states,opposed by,Christianity
Games significance,promotes,social change
controversy,promotes,social change
international participation,revives,modern Olympics
nations,represents,unity in diversity
Olympic legacy,reflects,event evolution
Olympic spirit,drives,popularity
unity,inspired by,future Olympics
propaganda,used for,celebration
expansion,limits,doping scandals
international participation,encourages,sports
cultural impact,shapes,events
newer sports,influences,propaganda
event evolution,evolved into,ancient Olympics
tradition,fosters,peace
fair play,promotes,global unity
Games significance,defines,modern Olympics
values,shared by,nations
global event,evolved into,religious festival
unity,supports,advocacy
propaganda,exploited by,political affiliation
cultural impact,contributes to,achievement
Olympic spirit,embodies,unity in diversity
Theodosius,abolished by,ancient Olympics
Olympic spirit,represents,Athens
achievement,enhances,understanding
sports,reflects,athlete representation
Athens,showcases,global platform
global phenomenon,marks,revival
spirit,guides,future Olympics
achievement,drives,social change
boycotts,affected by,unity
propaganda,manipulated for,values
religious festival,includes,traditional events
athletes,represented by,nations
motto,drives,competition
political disputes,creates,events
doping scandals,exposed by,global phenomenon
Olympic Games,includes,traditional events
ancient Greece,originated from,Athens
achievement,promotes,sports
Theodosius,enforced by,city-states
athletes,represented by,city-states
ancient Greece,worshipped by,Zeus
doping scandals,exposed by,political affiliation
ancient Olympics,faced,historical challenges
ancient Olympics,underwent,evolution
international participation,shaped,Olympic legacy
international cooperation,promotes,unity in diversity
newer sports,inspired,celebration
symbol,embodies,city-states
religious festival,inspired by,motto
modern challenges,challenges,celebration
global phenomenon,drives,athlete activism
medal stripping,represents,controversy
nations,advocates for,social change
sporting legacy,contributes to,achievement
understanding,enhances,modern challenges
Olympic legacy,informs,Games significance
controversy,affects,Olympic legacy
inspiration,reflects,cultural significance
political affiliation,complicates,modern challenges
propaganda,used as a tool by,understanding
international cooperation,facilitates,growth
international cooperation,represents,global phenomenon
unity in diversity,unites,athletes
newer sports,influences,excellence
global event,serves as,global platform
athletes,affected by,doping scandals
athlete activism,encourages,celebration
diversity,leads to,expansion
international relations,ensures,competition integrity
Olympic spirit,faces,historical challenges
political disputes,associated with,symbol
Olympic spirit,evolves,evolution
excellence,challenges,modern challenges
values,informs,newer sports
Olympic spirit,promotes,social change
political affiliation,complicates,athlete activism
popularity,enhances,athlete representation
international participation,utilized,propaganda
nations,includes,sports
propaganda,influenced by,sportsmanship
international cooperation,benefits from,athletes
excellence,drives,athlete activism
Olympic legacy,contributes to,achievement
athletes,competes with,religion
ancient Olympics,was considered a,pagan festival
competition,drives,global phenomenon
Theodosius,decreed by,Zeus
social change,promotes,respect
celebration,is a result of,competition
understanding,clarifies,doping scandals
religion,challenges,controversy
doping scandals,affects,social change
competition,influences,political affiliation
propaganda,used for,achievement
international cooperation,enhances,understanding
city-states,was a part of,pagan festival
values,is characterized by,sportsmanship
international cooperation,drives,social change
ancient Olympics,embodies,spirit
understanding,is informed by,religion
values,influences,competition
sports,is impacted by,doping scandals
religious festival,was celebrated by,city-states
controversy,is challenged by,global phenomenon
city-states,hosted by,Olympic Games
sports,competes in,athletes
city-states,participated by,competition
tradition,influenced by,religion
international participation,includes,newer sports
newer sports,is part of,international participation
global event,promotes,unity in diversity
unity in diversity,is represented by,global event
Athens,hosted in,global event
religious festival,transformed into,event evolution
event evolution,originated from,religious festival
excellence,embodies,Citius Altius Fortius
Citius Altius Fortius,is represented by,excellence
controversy,marred by,celebration
competition,influences,event evolution
event evolution,is shaped by,competition
