id,label
Ainu tattoos,Ainu tattoos
Egyptian tattoos,Egyptian tattoos
Samoan culture,Samoan culture
achievements,achievements
ancient cultures,ancient cultures
belonging,belonging
body art,body art
ceremony,ceremony
communal identities,communal identities
communal identity,communal identity
community commitment,community commitment
connection,connection
courage,courage
cultural identity,cultural identity
cultural roots,cultural roots
empowerment,empowerment
family lineage,family lineage
heritage,heritage
indigenous practices,indigenous practices
intricate designs,intricate designs
life events,life events
lineage,lineage
loyalty,loyalty
magical properties,magical properties
memorial tattoos,memorial tattoos
moko,moko
mythology,mythology
nature,nature
pe'a,pe'a
personal meaning,personal meaning
personal values,personal values
quotes,quotes
rite of passage,rite of passage
rituals,rituals
self-expression,self-expression
significance,significance
social status,social status
strength,strength
symbols,symbols
tattoos,tattoos
traditions,traditions
transition into adulthood,transition into adulthood
tribal affiliations,tribal affiliations
visual art,visual art
western tattoos,western tattoos
yakuza,yakuza
