source,relation,target,speaker,role
life events,represent,symbols,,none
body art,commemorate,memorial tattoos,,none
Samoan culture,involve,rituals,,none
lineage,enhance,connection,,none
transition into adulthood,symbolize,connection,,none
memorial tattoos,reflects,personal values,,none
body art,fosters,belonging,,none
Samoan culture,is part of,ceremony,,none
empowerment,enhances,self-expression,,none
self-expression,contributes to,strength,,none
intricate designs,represents,achievements,,none
personal meaning,fosters,connection,,none
personal meaning,facilitates,empowerment,,none
heritage,holds,significance,,none
cultural roots,informs,rituals,,none
cultural roots,shapes,communal identity,,none
communal identity,reflects,cultural roots,,none
loyalty,fosters,connection,,none
loyalty,provides,empowerment,,none
traditions,informs,indigenous practices,,none
heritage,defines,cultural identity,,none
social status,enhances,empowerment,,none
tribal affiliations,symbolizes,pe'a,,none
indigenous practices,informs,pe'a,,none
lineage,contributes to,belonging,,none
social status,is represented by,pe'a,,none
communal identity,is marked by,rite of passage,,none
transition into adulthood,reflects,personal values,,none
community commitment,is linked to,tribal affiliations,,none
communal identity,is expressed in,Samoan culture,,none
loyalty,is associated with,transition into adulthood,,none
personal meaning,informs,social status,,none
indigenous practices,embodies,strength,,none
loyalty,represents,strength,,none
rite of passage,embodies,courage,,none
ceremony,shapes,cultural identity,,none
social status,demonstrates,strength,,none
life events,marks,courage,,none
transition into adulthood,is associated with,belonging,,none
body art,includes,quotes,,none
traditions,is linked to,community commitment,,none
rituals,fosters,connection,,none
quotes,represents,personal values,,none
significance,is exemplified by,memorial tattoos,,none
heritage,is linked to,community commitment,,none
belonging,embodies,strength,,none
communal identity,is marked by,ceremony,,none
achievements,is influenced by,life events,,none
quotes,symbolizes,symbols,,none
significance,is associated with,rite of passage,,none
transition into adulthood,demonstrates,courage,,none
ancient cultures,shaped by,communal identities,,none
tattoos,commemorate,life events,,none
cultural roots,connected to,ancient cultures,,none
significance,represents,tattoos,,none
self-expression,influenced by,indigenous practices,,none
magical properties,associated with,rituals,,none
cultural roots,denotes,lineage,,none
social status,reflects,visual art,,none
ancient cultures,influenced by,family lineage,,none
courage,embodies,communal identities,,none
indigenous practices,influences,life events,,none
visual art,expressed through,cultural roots,,none
life events,associated with,social status,,none
self-expression,marks,rite of passage,,none
courage,embodies,cultural roots,,none
loyalty,reflects,achievements,,none
significance,enhances,social status,,none
communal identities,expresses,self-expression,,none
communal identities,symbolizes,pe'a,,none
nature,relates to,significance,,none
ceremony,associated with,significance,,none
intricate designs,represent,symbols,,none
traditions,fosters,connection,,none
personal meaning,commemorates,memorial tattoos,,none
cultural roots,enhances,self-expression,,none
social status,denotes,yakuza,,none
life events,marks,belonging,,none
family lineage,informs,visual art,,none
empowerment,demonstrates,community commitment,,none
lineage,shaped by,communal identity,,none
traditions,embodies,strength,,none
nature,influences,self-expression,,none
personal meaning,inspired by,mythology,,none
ceremony,creates,connection,,none
visual art,represented in,communal identity,,none
self-expression,marks,ceremony,,none
communal identities,denotes,tribal affiliations,,none
pe'a,symbolizes,ancient cultures,,none
ancient cultures,influenced by,yakuza,,none
lineage,represents,yakuza,,none
symbols,symbolizes,significance,,none
cultural roots,connects,tribal affiliations,,none
family lineage,represents,tribal affiliations,,none
tattoos,embodies,personal meaning,,none
