source,relation,target,speaker,role
psychological effects,evokes,positivity,,none
happiness,leads to,joy,,none
cool colors,enhanced by,productivity,,none
joy,associated with,serenity,,none
individual experiences,increases,serotonin,,none
color psychology,influenced by,nature,,none
appetite,stimulates,optimism,,none
innocence,associated with,positivity,,none
influence,affects,joy,,none
purity,contrasts with,red,,none
productivity,enhanced by,well-being,,none
warmth,associated with,well-being,,none
passion,associated with,well-being,,none
warm colors,influences,creativity,,none
focus,enhances,innocence,,none
purity,associated with,relaxation,,none
tranquility,promotes,well-being,,none
energy,increases,red,,none
optimism,leads to,joy,,none
death,contrasts with,happiness,,none
red,associated with,universal associations,,none
duality,contrasts with,innocence,,none
relaxation,inhibits,blood pressure,,none
innocence,shapes,individual experiences,,none
appetite,increases,serotonin,,none
urgency,stimulates,productivity,,none
positivity,enhances,creativity,,none
universal associations,influences,well-being,,none
meanings,shapes,well-being,,none
urgency,evokes,red,,none
relaxation,promotes,well-being,,none
duality,contrasts,meanings,,none
mystery,is associated with,colors,,none
authority,is a characteristic of,sophistication,,none
serenity,contrasts with,energy,,none
universal associations,is defined by,emotions,,none
productivity,can enhance,danger,,none
color psychology,is studied in,sadness,,none
relaxation,is influenced by,green,,none
color psychology,is studied in,serotonin,,none
focus,can hinder,mourning,,none
individual experiences,shapes,mystery,,none
cool colors,is affected by,blood pressure,,none
excitement,can evoke,authority,,none
appetite,stimulates,perception,,none
green,is associated with,happiness,,none
red,contrasts with,calming,,none
individual experiences,is influenced by,blood pressure,,none
psychological effects,can lead to,optimism,,none
colors,is influenced by,well-being,,none
excitement,evokes,red,,none
urgency,stimulates,behavior,,none
cool colors,is influenced by,well-being,,none
green,enhances,productivity,,none
focus,supports,peace,,none
duality,contrasts with,mourning,,none
purity,is associated with,appetite,,none
individual experiences,affects,well-being,,none
behavior,evokes,warm colors,,none
color psychology,enhances,focus,,none
urgency,stimulates,heart rate,,none
calming,has an effect on,influence,,none
cultural backgrounds,influences,passion,,none
serenity,promotes,creativity,,none
warm colors,affects,heart rate,,none
cool colors,is influenced by,emotions,,none
white,is associated with,nature,,none
urgency,is studied in,color psychology,,none
sophistication,is linked to,productivity,,none
happiness,is associated with,tranquility,,none
power,is influenced by,emotions,,none
happiness,is linked to,passion,,none
cultural backgrounds,affects,positivity,,none
excitement,is enhanced by,productivity,,none
excitement,is evoked by,warm colors,,none
productivity,is enhanced by,tranquility,,none
happiness,is contrasted with,sadness,,none
warmth,is associated with,tranquility,,none
sophistication,is linked to,cool colors,,none
calming,is studied in,color psychology,,none
productivity,is linked to,passion,,none
urgency,is associated with,authority,,none
warmth,is associated with,passion,,none
colors,is associated with,mourning,,none
red,is associated with,happiness,,none
red,is associated with,serenity,,none
happiness,is linked to,positivity,,none
purity,associates with,Eastern cultures,,none
excitement,evokes,cool colors,,none
red,is a type of,warm colors,,none
behavior,enhances,versatility,,none
mourning,associates with,Eastern cultures,,none
warm colors,is a field of study in,color psychology,,none
focus,enhances,tranquility,,none
serenity,studies,color psychology,,none
passion,increases,heart rate,,none
green,stimulates,appetite,,none
productivity,promotes,warm colors,,none
calming,decreases,blood pressure,,none
psychological effects,influences,emotions,,none
focus,enhances,passion,,none
purity,contrasts with,mourning,,none
danger,shapes,individual experiences,,none
influence,affects,color psychology,,none
versatility,influences,authority,,none
sadness,enhances,mystery,,none
peace,contrasts with,authority,,none
perception,evokes,happiness,,none
urgency,stimulates,cool colors,,none
sophistication,contrasts with,innocence,,none
psychological effects,induces,calming,,none
joy,evokes,emotions,,none
creativity,represents,power,,none
duality,exemplifies,tranquility,,none
green,comprises,colors,,none
death,influences,blood pressure,,none
colors,shapes,cultural backgrounds,,none
mourning,evokes,black,,none
perception,affects,productivity,,none
excitement,evokes,innocence,,none
innocence,associated with,versatility,,none
optimism,influences,color psychology,,none
versatility,promotes,relaxation,,none
calming,induces,emotions,,none
relaxation,promotes,peace,,none
serenity,evokes,happiness,,none
death,contrasts with,well-being,,none
passion,shapes,meanings,,none
power,represents,color psychology,,none
influence,influences,serenity,,none
danger,associated with,blood pressure,,none
mystery,associated with,sophistication,,none
energy,influences,serotonin,,none
Eastern cultures,associated with,green,,none
serenity,associated with,heart rate,,none
sophistication,associated with,blood pressure,,none
colors,influences,tranquility,,none
behavior,enhances,focus,,none
sophistication,associated with,well-being,,none
colors,associated with,passion,,none
serenity,associated with,optimism,,none
energy,evokes,emotions,,none
heart rate,affects,blood pressure,,none
productivity,enhances,relaxation,,none
warmth,associated with,relaxation,,none
individual experiences,influences,tranquility,,none
excitement,associated with,well-being,,none
individual experiences,influences,passion,,none
cool colors,promotes,peace,,none
calming,influences,energy,,none
behavior,enhances,creativity,,none
duality,exemplifies,behavior,,none
happiness,evokes,individual experiences,,none
sadness,associated with,mourning,,none
colors,associated with,positivity,,none
creativity,influences,nature,,none
urgency,associated with,innocence,,none
serenity,associated with,authority,,none
creativity,influences,serotonin,,none
sophistication,associated with,meanings,,none
black,affects,perception,,none
behavior,influences,universal associations,,none
warm colors,associated with,innocence,,none
productivity,enhances,individual experiences,,none
behavior,influences,relaxation,,none
purity,associated with,universal associations,,none
psychological effects,affects,perception,,none
creativity,evokes,emotions,,none
purity,associated with,tranquility,,none
creativity,enhances,calming,,none
excitement,evokes,purity,,none
innocence,associated with,psychological effects,,none
creativity,influences,authority,,none
warm colors,influences,blood pressure,,none
cool colors,influences,behavior,,none
focus,enhances,relaxation,,none
well-being,promotes,urgency,,none
individual experiences,influences,behavior,,none
universal associations,influences,authority,,none
innocence,associated with,emotions,,none
purity,associated with,joy,,none
relaxation,promotes,authority,,none
warm colors,influences,well-being,,none
purity,associated with,serotonin,,none
perception,influences,colors,,none
peace,influences,emotions,,none
duality,associated with,relaxation,,none
cool colors,associated with,white,,none
calming,increases,serotonin,,none
white,influences,behavior,,none
cultural backgrounds,influenced by,appetite,,none
warm colors,associated with,meanings,,none
happiness,associated with,warmth,,none
blood pressure,increases,red,,none
psychological effects,influences,appetite,,none
appetite,associated with,happiness,,none
versatility,characteristic of,mystery,,none
cultural backgrounds,influenced by,versatility,,none
happiness,associated with,versatility,,none
happiness,increases,serotonin,,none
influence,influences,serotonin,,none
productivity,associated with,versatility,,none
well-being,enhances,positivity,,none
warmth,associated with,versatility,,none
emotions,affects,influence,,none
color psychology,studies,blood pressure,,none
behavior,evokes,joy,,none
behavior,influences,emotions,,none
energy,stimulates,appetite,,none
optimism,increases,serotonin,,none
versatility,characteristic of,mourning,,none
joy,evokes,excitement,,none
excitement,is evoked by,joy,,none
serotonin,increases,excitement,,none
excitement,is increased by,serotonin,,none
positivity,evokes,excitement,,none
excitement,is evoked by,positivity,,none
energy,influences,influence,,none
influence,is influenced by,energy,,none
focus,associated with,versatility,,none
duality,associated with,versatility,,none
relaxation,evokes,mystery,,none
meanings,associated with,versatility,,none
passion,associated with,warm colors,,none
productivity,increases,serotonin,,none
urgency,creates,joy,,none
