id,label
Eastern cultures,Eastern cultures
appetite,appetite
authority,authority
behavior,behavior
black,black
blood pressure,blood pressure
blue,blue
calming,calming
color psychology,color psychology
colors,colors
cool colors,cool colors
creativity,creativity
cultural backgrounds,cultural backgrounds
danger,danger
death,death
duality,duality
emotions,emotions
energy,energy
excitement,excitement
focus,focus
green,green
happiness,happiness
heart rate,heart rate
individual experiences,individual experiences
influence,influence
innocence,innocence
joy,joy
meanings,meanings
mourning,mourning
mystery,mystery
nature,nature
optimism,optimism
passion,passion
peace,peace
perception,perception
positivity,positivity
power,power
productivity,productivity
psychological effects,psychological effects
purity,purity
red,red
relaxation,relaxation
sadness,sadness
serenity,serenity
serotonin,serotonin
sophistication,sophistication
tranquility,tranquility
universal associations,universal associations
urgency,urgency
versatility,versatility
warm colors,warm colors
warmth,warmth
well-being,well-being
white,white
yellow,yellow
