source,relation,target
origami artists,practices,origami
intricate designs,applies to,material science
origami,involves,mathematics
origami,inspired by,innovative structures
folding patterns,leads to,innovative structures
advancements,applies to,material science
manipulation,involves,symmetry
geometric principles,guides,transformation
Euclidean geometry,defines,vertices
proportion,influences,folds
multidisciplinary field,applies to,mathematics
proportion,relates to,geometric concepts
mathematics,is a principle of,symmetry
folded structure,supports,balance
multidisciplinary field,enables,innovative structures
angles,involves,scaling
folded structure,is a result of,paper folding
visual appeal,enhances,art
structural soundness,ensures,geometric concepts
material science,utilizes,geometric concepts
computer science,involves,computational origami
folds,creates,three-dimensional structures
computer science,analyzes,folds
three-dimensional structures,inspired by,advancements
folded structure,composed of,vertices
folded structure,results in,computational origami
computer science,applies,geometric concepts
intricate designs,involves,computational origami
precision,creates,symmetrical designs
Euclidean geometry,develops,algorithms
geometric concepts,influences,intricate designs
architecture,creates,intricate designs
engineering,develops,medical devices
architecture,utilizes,computational origami
engineering,applies,geometric principles
paper folding,involves,mathematics
origami,develops,software programs
precision,involves,manipulation
algorithms,utilizes,mathematical concepts
mathematical concepts,informs,algorithms
paper folding,inspired by,innovative structures
repetitions,enhances,art
origami,creates,three-dimensional structures
origami,applies to,Euclidean geometry
computer science,utilizes,graph theory
mathematics,is applied in,computational origami
deployable solar panels,requires,precision
mathematical concepts,involves,three-dimensional structures
three-dimensional structures,produces,software programs
repetitions,involves,folds
forms,forms,mathematical concepts
angles,influences,innovative structures
edges,creates,three-dimensional structures
transformation,ensures,balance
computer science,develops,algorithms
origami artists,creates,forms
origami,produces,intricate designs
transformation,applies,mathematics
origami,involves,vertices
origami artists,utilizes,symmetry
geometric principles,ensures,stability
adaptable designs,achieves,precision
origami,includes,geometric concepts
repetitions,enhances,precision
Euclidean geometry,guides,folding patterns
folding patterns,represents,geometric concepts
transformation,creates,innovative structures
graph theory,applies,paper folding
origami artists,executes,manipulation
edges,creates,intricate designs
precision,ensures,folds
deployable solar panels,inspired,Euclidean geometry
proportion,influences,folding patterns
material science,applies to,vertices
computational origami,contributes to,material science
edges,defines,geometric concepts
multidisciplinary field,encompasses,three-dimensional structures
stability,enhances,accuracy
transformation,creates,shapes
dimensions,involves,paper folding
origami artists,manipulates,dimensions
adaptable designs,develops,algorithms
origami artists,calculates,angles
angles,forms,forms
folded structure,ensures,integrity
structural soundness,ensures,folding patterns
origami artists,utilizes,mathematical concepts
shapes,leads to,innovative structures
folded structure,influences,science
origami artists,expresses,art
folded structure,achieved by,structural soundness
scaling,involves,calculations
geometric principles,supports,balance
origami artists,enables,transformation
stability,contributes to,visual appeal
accuracy,enhances,software programs
ratio,influences,folding patterns
visual appeal,requires,scaling
mathematics,applies to,geometric principles
creations,represents,shapes
software programs,utilizes,paper folding
accuracy,improves,edges
visual appeal,enhances,integrity
origami,inspired by,adaptable designs
symmetry,ensures,stability
stability,provides,deployable solar panels
scaling,involves,forms
beauty of mathematics,is reflected in,precision
innovative structures,contributes to,geometric principles
structural soundness,enhances,visual appeal
medical devices,utilizes,adaptable designs
software programs,enhances,vertices
mathematical concepts,informs,symmetrical designs
engineering,creates,forms
folded structure,influenced by,artificial intelligence
art,involves,symmetrical designs
transformation,facilitates,robotics
medical devices,applied to,algorithms
folded structure,is manifested in,beauty of mathematics
innovative structures,influences,science
manipulation,affects,folded structure
origami artists,achieves,precision
advancements,improves,folding patterns
stability,ensures,adaptable designs
geometric principles,defines,shapes
repetitions,contributes to,stability
adaptable designs,requires,scaling
transformation,affects,proportion
angles,creates,three-dimensional structures
folded structure,results in,folds
folded structure,enhances,advancements
shapes,creates,forms
paper folding,results in,intricate designs
manipulation,involves,art
computer science,contributes to,artificial intelligence
robotics,advances,advancements
vertices,defines,paper folding
transformation,develops,software programs
paper folding,involves,computational origami
transformation,influences,architecture
folds,comprises,paper folding
dimensions,enables,adaptable designs
paper folding,includes,geometric concepts
balance,is achieved through,beauty of mathematics
science,intersects with,technology
balance,is enhanced by,visual appeal
science,shapes,shapes
mathematics,applies,artificial intelligence
manipulation,achieves,balance
graph theory,ensures,precision
Euclidean geometry,informs,symmetrical designs
transformation,results in,three-dimensional structures
medical devices,utilizes,precision
mathematics,involves,manipulation
folded structure,provides,stability
geometric principles,applies,material science
origami,involves,folding patterns
artificial intelligence,influences,innovative structures
folded structure,is applied in,mathematics
deployable solar panels,provides,balance
transformation,involves,edges
folds,comprises,dimensions
computational origami,is applied in,vertices
folds,is part of,vertices
innovative structures,is expressed through,beauty of mathematics
Euclidean geometry,defines,symmetry
innovative structures,is realized in,visual appeal
vertices,involves,geometric concepts
computational origami,involves,geometric concepts
manipulation,contributes to,innovative structures
mathematics,is based on,deployable solar panels
folded structure,is reflected in,accuracy
structural soundness,ensures,transformation
engineering,informs,architecture
angles,determines,engineering
scaling,facilitates,exploration
Euclidean geometry,guides,manipulation
mathematical concepts,utilizes,engineering
stability,provides,precision
deployable solar panels,inspired by,innovative structures
proportion,enhances,symmetrical designs
dimensions,defined by,creations
science,informs,material science
three-dimensional structures,comprises,engineering
software programs,analyzes,folding patterns
graph theory,illustrates,beauty of mathematics
advancements,drives,angles
precision,ensures,dimensions
paper folding,supports,integrity
architecture,informs,creations
angles,involves,creations
edges,affects,engineering
edges,defines,folding patterns
exploration,explores,forms
transformation,creates,intricate designs
accuracy,ensures,paper folding
folded structure,defines,software programs
science,involves,paper folding
proportion,enhances,symmetry
architecture,informs,shapes
paper folding,influences,structural soundness
three-dimensional structures,comprises,creations
technology,enhances,visual appeal
geometric principles,informs,architecture
integrity,ensures,proportion
multidisciplinary field,applies to,science
art,influences,Euclidean geometry
paper folding,utilizes,architecture
graph theory,underpins,origami
computer science,contributes to,creations
manipulation,applies to,material science
engineering,drives,advancements
intricate designs,enhances,symmetry
forms,shapes,medical devices
symmetrical designs,informs,architecture
paper folding,influences,artificial intelligence
geometric principles,creates,three-dimensional structures
ratio,relates to,symmetry
Euclidean geometry,facilitates,transformation
stability,provides,origami artists
calculations,supports,stability
computer science,involves,manipulation
geometric principles,informs,edges
intricate designs,enhances,shapes
intricate designs,requires,manipulation
folds,applies to,material science
ratio,involves,manipulation
forms,shapes,symmetry
geometric principles,enables,exploration
graph theory,applies to,medical devices
software programs,utilizes,science
advancements,advances,creations
proportion,is a component of,mathematical concepts
transformation,ensures,accuracy
innovative structures,involves,geometric concepts
repetitions,enhances,symmetry
symmetry,is characterized by,repetitions
origami,involves,paper folding
architecture,influences,art
precision,requires,calculations
artificial intelligence,facilitates,exploration
folding patterns,enhances,symmetry
origami artists,applies,mathematics
computational origami,produces,folding patterns
beauty of mathematics,drives,exploration
three-dimensional structures,transforms into,forms
visual appeal,contributes to,exploration
manipulation,leads to,exploration
deployable solar panels,is a type of,three-dimensional structures
technology,advances,robotics
integrity,ensures,precision
origami artists,create,innovative structures
geometric principles,ensures,accuracy
deployable solar panels,enables,exploration
structural soundness,depends on,precision
artificial intelligence,informs,adaptable designs
mathematics,applies,robotics
artificial intelligence,produces,intricate designs
angles,supports,folded structure
precision,enhances,symmetry
architecture,influences,adaptable designs
proportion,enhances,beauty of mathematics
innovative structures,utilizes,robotics
visual appeal,results in,intricate designs
science,underpins,graph theory
angles,involves,repetitions
mathematical concepts,informs,adaptable designs
artificial intelligence,defines,vertices
computer science,enhances,precision
structural soundness,involves,graph theory
mathematical concepts,informs,repetitions
artificial intelligence,develops,computational origami
robotics,utilizes,edges
artificial intelligence,involves,folds
technology,supports,software programs
geometric principles,guides,ratio
artificial intelligence,informs,geometric concepts
mathematics,creates,three-dimensional structures
transformation,involves,folding patterns
ratio,ensures,precision
accuracy,informs,science
integrity,contributes to,beauty of mathematics
beauty of mathematics,includes,geometric concepts
origami artists,creates,shapes
deployable solar panels,produces,intricate designs
manipulation,involves,geometric concepts
art,ensures,stability
visual appeal,leads to,advancements
algorithms,creates,three-dimensional structures
scaling,affects,folding patterns
mathematics,promotes,exploration
transformation,involves,folded structure
architecture,ensures,precision
structural soundness,enhances,beauty of mathematics
folds,involves,computational origami
folding patterns,is based on,mathematical concepts
advancements,contributes to,computational origami
scaling,affects,folded structure
algorithms,drives,exploration
folds,involves,geometric concepts
deployable solar panels,represents,advancements
advancements,inspired by,geometric concepts
origami artists,perform,calculations
multidisciplinary field,involves,paper folding
scaling,requires,repetitions
angles,is a part of,mathematics
transformation,inspired,deployable solar panels
technology,enables,adaptable designs
manipulation,enhances,accuracy
adaptable designs,leads to,advancements
origami,involves,computational origami
origami,requires,folds
technology,applies to,computational origami
origami,inspired by,science
scaling,involves,mathematics
creations,enhances,repetitions
technology,involves,geometric concepts
origami,ensures,structural soundness
transformation,enhances,artificial intelligence
advancements,driven by,algorithms
shapes,creates,folded structure
engineering,contributes to,visual appeal
accuracy,ensures,folds
shapes,involves,repetitions
algorithms,utilized by,artificial intelligence
geometric principles,contributes to,science
balance,achieved by,engineering
graph theory,describes,forms
proportion,ensures,stability
beauty of mathematics,enhances,advancements
mathematics,applied in,engineering
proportion,involves,scaling
medical devices,ensures,structural soundness
origami,enables,precision
creations,enhances,visual appeal
software programs,develops,computational origami
deployable solar panels,utilized in,shapes
geometric concepts,informed by,software programs
geometric principles,influences,folding patterns
creations,achieves,balance
dimensions,involves,calculations
engineering,creates,innovative structures
shapes,enhances,visual appeal
symmetrical designs,creates,forms
integrity,maintains,scaling
medical devices,applied in,material science
exploration,explores,symmetry
creations,utilizes,mathematics
folded structure,influences,geometric principles
medical devices,utilized in,computer science
geometric principles,involves,repetitions
paper folding,utilizes,symmetry
structural soundness,ensures,scaling
origami,influences,artificial intelligence
creations,involves,innovative structures
dimensions,defines,forms
paper folding,involves,manipulation
edges,ensures,precision
calculations,involves,mathematical concepts
deployable solar panels,inspired by,geometric principles
medical devices,utilizes,architecture
beauty of mathematics,enhances,origami
angles,guides,paper folding
origami artists,creates,three-dimensional structures
calculations,involves,three-dimensional structures
intricate designs,provides,stability
exploration,explores,folded structure
geometric principles,enhances,visual appeal
ratio,involves,scaling
edges,manipulated by,origami artists
origami,developed using,algorithms
origami artists,engages in,exploration
computational origami,involves,manipulation
architecture,involves,scaling
innovative structures,applies to,Euclidean geometry
deployable solar panels,utilizes,science
transformation,involves,paper folding
beauty of mathematics,enhances,software programs
medical devices,benefits,advancements
beauty of mathematics,contributes to,edges
transformation,creates,symmetrical designs
calculations,involves,art
robotics,facilitates,exploration
balance,ensures,exploration
engineering,applies to,material science
material science,influences,engineering
origami artists,creates,intricate designs
manipulation,describes,folding patterns
edges,utilizes,algorithms
multidisciplinary field,involves,precision
origami,enhances,technology
paper folding,is a form of,art
medical devices,is a component of,folded structure
paper folding,involves,engineering
Euclidean geometry,defines,shapes
folded structure,enhances,visual appeal
art,is expressed as,forms
material science,applies to,creations
science,contributes to,artificial intelligence
deployable solar panels,involves,folding patterns
multidisciplinary field,is a subset of,engineering
origami artists,drives,advancements
dimensions,relates to,architecture
geometric concepts,ensures,stability
folds,defines,folding patterns
dimensions,affects,angles
visual appeal,involves,repetitions
dimensions,is a part of,mathematical concepts
robotics,produces,intricate designs
vertices,is a concept in,mathematical concepts
art,is a principle of,symmetry
computational origami,is based on,mathematical concepts
symmetry,provides,folded structure
shapes,is studied in,material science
origami,is applied in,medical devices
deployable solar panels,utilizes,artificial intelligence
graph theory,is a field of,multidisciplinary field
folding patterns,is used in,medical devices
paper folding,is achieved through,creations
robotics,is related to,vertices
robotics,utilizes,computational origami
art,is a concept in,vertices
multidisciplinary field,encompasses,creations
calculations,supports,Euclidean geometry
robotics,is informed by,geometric concepts
paper folding,is a technique in,shapes
edges,involves,origami
exploration,facilitates,angles
beauty of mathematics,is enhanced by,multidisciplinary field
stability,ensures,folding patterns
graph theory,contributes to,advancements
mathematics,applies to,folding patterns
innovative structures,inspired by,computer science
software programs,used in,medical devices
robotics,utilizes,creations
mathematics,is defined by,visual appeal
Euclidean geometry,creates,forms
proportion,involves,engineering
medical devices,utilized in,edges
symmetry,provides,balance
multidisciplinary field,develops,algorithms
folding patterns,involves,technology
shapes,enhances,robotics
calculations,involves,proportion
innovative structures,derived from,medical devices
adaptable designs,includes,repetitions
paper folding,requires,precision
angles,contributes to,intricate designs
geometric principles,guides,paper folding
folded structure,forms,algorithms
software programs,utilizes,engineering
proportion,is determined by,creations
transformation,is a form of,art
multidisciplinary field,applies to,geometric principles
calculations,is maintained by,integrity
angles,defines,vertices
angles,is applied in,computational origami
angles,involves,folds
edges,affects,scaling
shapes,relates to,proportion
angles,involves,geometric concepts
art,informs,mathematical concepts
shapes,utilizes,computer science
