source,relation,target,speaker,role
non-REM sleep,influences,sleep regulation,,none
melatonin release,supports,serotonin role,,none
emotional processing,affects,noise impact,,none
cardiovascular disease,increases risk of,obesity risk,,none
sleep science,informs,sleep habits,,none
neurotransmitter systems,is influenced by,deep sleep,,none
physiological mechanisms,regulates,body temperature,,none
REM sleep,is compared to,deep sleep,,none
temperature effects,affects,muscle paralysis,,none
circadian rhythm,increases risk of,obesity risk,,none
neurotransmitter systems,is part of,serotonin role,,none
melatonin release,is regulated by,internal clock,,none
physiological mechanisms,is affected by,sleep disorders,,none
sleep patterns,influences,health,,none
noise impact,is influenced by,sleep disorders,,none
mood regulation,promotes,lifestyle changes,,none
melatonin release,is influenced by,well-being,,none
dreaming,is associated with,light sleep,,none
sleep patterns,affects,noise impact,,none
dreaming,is related to,adequate rest,,none
sleep regulation,enhances,quality of life,,none
sleep regulation,affects,dreaming,,none
neurotransmitter systems,is influenced by,diabetes risk,,none
sleep quality,influences,circadian rhythm,,none
circadian rhythm,regulates,body temperature,,none
serotonin role,is influenced by,cognitive function,,none
light exposure,affects,sleep stages,,none
sleep regulation,promotes,adequate rest,,none
non-REM sleep,affects,sleep patterns,,none
health factors,increases risk of,obesity risk,,none
heart rate,affects,obesity risk,,none
sleep patterns,influences,immune function,,none
sleep disorders,exacerbates,light sleep,,none
sleep importance,affects,circadian rhythm,,none
dopamine role,contributes to,sleep science,,none
non-REM sleep,enhances,cognitive function,,none
mental health,impacts,sleep patterns,,none
non-REM sleep,involves,neurological mechanisms,,none
dopamine role,influences,sleep stages,,none
external influences,affected by,brain activity,,none
neurological mechanisms,regulates,mood regulation,,none
cardiovascular disease,exacerbates,sleep deprivation,,none
rest prioritization,enhances,dreaming,,none
obesity risk,increases,temperature effects,,none
noise impact,impacts,cardiovascular disease,,none
sleep cycle,comprises,sleep patterns,,none
cardiovascular disease,increases,health factors,,none
metabolism,affects,deep sleep,,none
heart rate,increases risk of,cardiovascular disease,,none
melatonin release,regulated by,cognitive function,,none
sleep deprivation,causes,sleep patterns,,none
adequate rest,influences,sleep cycle,,none
body temperature,affects,health factors,,none
heart rate,affects,body temperature,,none
dopamine role,influences,brain activity,,none
external influences,impacts,serotonin role,,none
obesity risk,increases,mood regulation,,none
sleep disorders,influences,sleep habits,,none
circadian rhythm,affects,light exposure,,none
obesity risk,affects,sleep patterns,,none
cardiovascular disease,increases,temperature effects,,none
well-being,enhances,adequate rest,,none
melatonin release,regulated by,brain activity,,none
serotonin role,increases,diabetes risk,,none
sleep regulation,influences,lifestyle changes,,none
diabetes risk,increases,adequate rest,,none
muscle paralysis,exacerbates,sleep deprivation,,none
dopamine role,influences,health,,none
non-REM sleep,comprises,sleep stages,,none
sleep stages,enhanced by,immune function,,none
deep sleep,stimulates,melatonin release,,none
noise impact,affects,circadian rhythm,,none
neurological mechanisms,underpins,sleep importance,,none
sleep cycle,is influenced by,sleep importance,,none
lifestyle changes,improves,mental health,,none
mood regulation,regulates,body temperature,,none
serotonin role,is influenced by,metabolism,,none
external influences,is affected by,metabolism,,none
diabetes risk,increases,sleep quality,,none
dopamine role,is influenced by,diabetes risk,,none
melatonin release,is associated with,sleep stages,,none
serotonin role,is influenced by,quality of life,,none
sleep stages,is composed of,sleep cycle,,none
sleep quality,supports,immune function,,none
sleep disorders,is critical for,sleep importance,,none
adequate rest,promotes,rest prioritization,,none
rest prioritization,requires,lifestyle changes,,none
light exposure,is affected by,health factors,,none
sleep importance,is linked to,diabetes risk,,none
cognitive function,enhances,quality of life,,none
light sleep,is associated with,muscle paralysis,,none
sleep science,involves,dreaming,,none
sleep importance,supports,immune function,,none
adequate rest,is improved by,cognitive function,,none
sleep quality,is influenced by,rest prioritization,,none
melatonin release,is stimulated by,metabolism,,none
neurotransmitter systems,affects,sleep stages,,none
dopamine role,is influenced by,biological process,,none
internal clock,regulates,sleep stages,,none
lifestyle changes,affects,light sleep,,none
sleep regulation,is linked to,obesity risk,,none
mental health,is associated with,obesity risk,,none
health factors,affects,metabolism,,none
sleep importance,is prioritized by,rest prioritization,,none
sleep quality,causes,sleep disorders,,none
brain activity,facilitates,dreaming,,none
light exposure,affects,mood regulation,,none
lifestyle changes,influences,REM sleep,,none
deep sleep,enhances,quality of life,,none
physiological mechanisms,influences,sleep quality,,none
health factors,regulates,internal clock,,none
light sleep,affects,body temperature,,none
deep sleep,promotes,adequate rest,,none
sleep importance,highlights,cardiovascular disease,,none
neurotransmitter systems,regulated by,non-REM sleep,,none
cardiovascular disease,impacts,sleep regulation,,none
temperature effects,influences,metabolism,,none
sleep science,is studied in,cardiovascular disease,,none
circadian rhythm,determines,sleep patterns,,none
sleep cycle,is related to,sleep science,,none
body temperature,affects,sleep regulation,,none
quality of life,is influenced by,sleep patterns,,none
physiological mechanisms,is linked to,sleep importance,,none
deep sleep,is a stage of,sleep stages,,none
circadian rhythm,influences,neurological mechanisms,,none
neurotransmitter systems,is affected by,light sleep,,none
mood regulation,affects,metabolism,,none
internal clock,regulates,temperature effects,,none
lifestyle changes,affects,sleep habits,,none
neurotransmitter systems,is influenced by,adequate rest,,none
REM sleep,is associated with,adequate rest,,none
light exposure,contributes to,sleep deprivation,,none
lifestyle changes,improved by,cognitive function,,none
sleep deprivation,impacts,health,,none
quality of life,enhanced by,metabolism,,none
internal clock,is regulated by,mood regulation,,none
diabetes risk,is linked to,sleep science,,none
obesity risk,is affected by,well-being,,none
neurotransmitter systems,influenced by,sleep quality,,none
immune function,supports,health,,none
external influences,affects,body temperature,,none
rest prioritization,influences,body temperature,,none
adequate rest,is necessary for,metabolism,,none
non-REM sleep,is a type of,biological process,,none
serotonin role,influences,sleep habits,,none
sleep importance,is linked to,health factors,,none
obesity risk,is associated with,melatonin release,,none
sleep patterns,is related to,health factors,,none
sleep importance,is linked to,heart rate,,none
sleep patterns,is influenced by,heart rate,,none
sleep science,is studied in,health factors,,none
lifestyle changes,affected by,brain activity,,none
dreaming,is related to,emotional processing,,none
sleep cycle,affects,health,,none
sleep habits,influences,sleep quality,,none
sleep cycle,influences,neurological mechanisms,,none
memory consolidation,facilitates,REM sleep,,none
non-REM sleep,enhances,memory consolidation,,none
immune function,supports,memory consolidation,,none
immune function,affects,mental health,,none
heart rate,influences,sleep quality,,none
internal clock,affects,health,,none
sleep deprivation,impacts,immune function,,none
sleep disorders,causes,sleep cycle,,none
mental health,affects,sleep cycle,,none
metabolism,influences,lifestyle changes,,none
external influences,increases risk of,obesity risk,,none
external influences,influenced by,sleep quality,,none
noise impact,affects,light sleep,,none
heart rate,characterizes,sleep stages,,none
sleep regulation,regulates,internal clock,,none
immune function,supports,neurological mechanisms,,none
cardiovascular disease,influences,cognitive function,,none
sleep habits,influences,sleep patterns,,none
sleep deprivation,influences,sleep cycle,,none
cognitive function,affects,body temperature,,none
diabetes risk,increases risk of,sleep disorders,,none
dopamine role,influences risk of,obesity risk,,none
external influences,influences importance of,sleep importance,,none
dopamine role,influences,sleep quality,,none
well-being,impacts,light exposure,,none
adequate rest,promotes,melatonin release,,none
sleep stages,is characterized by,body temperature,,none
obesity risk,increases risk of,serotonin role,,none
internal clock,enhances,memory consolidation,,none
internal clock,affects,mental health,,none
muscle paralysis,enables,dreaming,,none
immune function,impacts,sleep disorders,,none
diabetes risk,increases risk of,biological process,,none
circadian rhythm,influences,health factors,,none
sleep science,is related to,REM sleep,,none
circadian rhythm,regulates,heart rate,,none
memory consolidation,enhances,cognitive function,,none
sleep regulation,influences,emotional processing,,none
dopamine role,influences importance of,sleep importance,,none
obesity risk,increases risk of,physiological mechanisms,,none
sleep quality,promotes,melatonin release,,none
rest prioritization,influences,internal clock,,none
dreaming,is characterized by,sleep stages,,none
brain activity,affects,body temperature,,none
sleep deprivation,disrupts,internal clock,,none
sleep disorders,contributes to,neurological mechanisms,,none
sleep cycle,influences,cardiovascular disease,,none
sleep habits,influences,noise impact,,none
sleep regulation,affects,sleep quality,,none
obesity risk,increases risk of,diabetes risk,,none
deep sleep,is characterized by,body temperature,,none
sleep cycle,is related to,light sleep,,none
light sleep,influences,sleep patterns,,none
external influences,is influenced by,mental health,,none
metabolism,affects,well-being,,none
circadian rhythm,affects,temperature effects,,none
lifestyle changes,influences,dreaming,,none
sleep importance,promotes,melatonin release,,none
serotonin role,influences,body temperature,,none
dopamine role,is influenced by,memory consolidation,,none
brain activity,affects,neurotransmitter systems,,none
sleep regulation,influences,sleep patterns,,none
obesity risk,increases risk of,metabolism,,none
non-REM sleep,influences,brain activity,,none
internal clock,enhances,well-being,,none
sleep habits,improves,immune function,,none
light exposure,impacts,cognitive function,,none
circadian rhythm,affects,health,,none
immune function,influences,cardiovascular disease,,none
muscle paralysis,affects,sleep cycle,,none
health,enhances,quality of life,,none
non-REM sleep,influences,emotional processing,,none
sleep cycle,affects,sleep habits,,none
body temperature,influences,metabolism,,none
circadian rhythm,influences,well-being,,none
biological process,affects,metabolism,,none
muscle paralysis,regulated by,neurotransmitter systems,,none
REM sleep,occurs during,muscle paralysis,,none
brain activity,involves,neurological mechanisms,,none
sleep deprivation,exacerbates,dreaming,,none
sleep habits,enhances,memory consolidation,,none
dreaming,impacted by,light exposure,,none
sleep deprivation,causes,sleep habits,,none
metabolism,affects,sleep importance,,none
metabolism,influences,sleep patterns,,none
external influences,impacts,sleep patterns,,none
metabolism,is studied in,sleep science,,none
heart rate,is affected by,temperature effects,,none
health factors,regulates,mood regulation,,none
body temperature,affects,adequate rest,,none
heart rate,influences,brain activity,,none
mood regulation,regulates,heart rate,,none
brain activity,is characterized by,sleep stages,,none
sleep habits,influences,health factors,,none
sleep habits,affected by,heart rate,,none
cognitive function,regulates,circadian rhythm,,none
cardiovascular disease,is influenced by,dopamine role,,none
non-REM sleep,comprises,sleep cycle,,none
diabetes risk,increases risk of,noise impact,,none
light exposure,affects,mental health,,none
circadian rhythm,is influenced by,dopamine role,,none
light sleep,supports,memory consolidation,,none
health,affects,external influences,,none
sleep patterns,is influenced by,dopamine role,,none
adequate rest,supports,memory consolidation,,none
obesity risk,is influenced by,body temperature,,none
temperature effects,affects,mood regulation,,none
sleep science,is influenced by,lifestyle changes,,none
sleep regulation,supports,memory consolidation,,none
temperature effects,affects,sleep habits,,none
cardiovascular disease,is influenced by,melatonin release,,none
sleep regulation,affects,mental health,,none
biological process,supports,cognitive function,,none
neurological mechanisms,is influenced by,adequate rest,,none
light sleep,is affected by,sleep deprivation,,none
diabetes risk,increases risk of,immune function,,none
sleep importance,affects,body temperature,,none
obesity risk,is influenced by,neurotransmitter systems,,none
mood regulation,affects,sleep habits,,none
sleep regulation,is influenced by,sleep deprivation,,none
