source,relation,target
profound impact,enabled by,ENIAC
democratization,facilitates,conduct business
James Watt,developed by,steam engine
transformed urban landscapes,influenced,societal change
societal change,resulted from,transformed urban landscapes
global communication,enabled,accessibility
accessibility,depends on,global communication
global scale,enables,spread of knowledge
shaping world,contributed to,widespread adoption
widespread adoption,is a result of,shaping world
impact on civilization,influenced,social media
social media,is shaped by,impact on civilization
ENIAC,utilized by,business
connect people,facilitates,share ideas
share ideas,is dependent on,connect people
global communication,enables,interact world
interact world,is facilitated by,global communication
global economy,influences,modern computing
digital technologies,enables,process information
process information,is reliant on,digital technologies
inventions,influences,global scale
electric lighting,is more,safer
internet,shapes,ideas
progress,contributes to,ENIAC
technological advancements,advances,communication technologies
ENIAC,revolutionized,revolutionized lives
revolutionized lives,was transformed by,ENIAC
convenient,is more,transformed urban landscapes
printed materials,produced by,printing press
printing press,enables,communication technologies
innovation,inspired by,wheel
Thomas Edison,invented,light bulb
digital age,influenced by,interact world
telephone,shaped by,shaping world
accessibility,has,profound impact
societal change,drives,innovation
millions of people,benefits,modern society
technological progress,characterizes,digital age
late 20th century,defines,digital age
steam engine,developed,Thomas Edison
technological progress,enables,computer
advancements,shapes,human history
advancements,revolutionizes,revolutionized lives
light bulb,includes,inventions
societal change,enhances,information access
Thomas Edison,revolutionized,revolutionized illumination
global connectivity,reshapes,reshape lives
access information,provides,world
modern computing,enables,process information
shaping world,facilitates,share ideas
industrial advancements,drives,mechanization
wheel,is,essential components
Industrial Revolution,initiated,technological transformation
steam engine,developed,Thomas Newcomen
global connectivity,enabled,internet
connect people,connects,industrial society
industrial society,benefits from,connect people
wheel,enabled by,modern transportation
transformed urban landscapes,transformed,telephone
groundbreaking inventions,has,impact on civilization
steam engine,enabled by,inventions
steam engine,facilitates,transport goods
accessibility,revolutionized,revolutionized lives
artificial lighting,illuminates,indoor spaces
mobile communication,enabled,widespread adoption
society,ushered in,digital age
innovation,has influenced,profound impact
foundation,enhances,improved quality of life
global communication,transforms,impact on civilization
communication,facilitates,information dissemination
accessibility,enables,transport goods
accessibility,drives,digital technologies
widespread adoption,results in,information dissemination
future generations,inspired by,advancements
technological progress,paved the way for,steam engine
shaping world,enables,information access
global communication,supports,e-commerce
telecommunications,connects,connect people
interact world,influences,shaping world
global communication,revolutionized,printing press
telecommunications,enhances,education
communication,enhances,collaboration
printing press,drives,technological transformation
modern computing,enables,information dissemination
shaping world,improves,indoor spaces
wheel,preceded,Industrial Revolution
replaced gas lamps,replaced,industrial advancements
printing press,influenced,steam engine
world,transformed,communication technologies
groundbreaking inventions,transforms,world
groundbreaking inventions,drives,technological progress
information dissemination,facilitates,business
transportation,enables,connect people
light bulb,transformed by,transformation
millions of people,benefits,accessibility
world,reshaped,social media
creativity,transforms,revolutionized lives
innovation,drives,progress
inventions,shaped,Industrial Revolution
collaboration,enhances,technology
share ideas,transforms,revolutionized lives
accessibility,inspires,future generations
innovation,transforms,revolutionized lives
impact on civilization,enables,share ideas
shaping world,influences,industrial society
millions of people,benefits,connect people
global scale,affects,impact on civilization
global connectivity,has,profound impact
transformation,transformed by,steam engine
telephone,facilitates,information dissemination
reshape lives,reshaped by,conduct business
internet,has,impact on civilization
society,connects,connect people
telephone,enables,collaboration
real time,improved by,improved quality of life
societal change,affects,millions of people
impact on civilization,impacted by,connect people
global communication,enables,world
global communication,drives,technological progress
inventions,includes,groundbreaking inventions
innovation,enables,transport goods
reshape lives,reshaped by,cities
connect people,facilitates,e-commerce
literacy,supports,printed materials
human history,shapes,information access
human history,influences,interact world
communication,ushered in,digital age
collaboration,provides,foundation
global connectivity,drives,progress
digital technologies,facilitates,access information
connectivity,enables,widespread adoption
process information,processed by,internet
telecommunications,enables,global connectivity
profound impact,affected,transformed urban landscapes
revolutionized lives,revolutionized by,global connectivity
future generations,drives,innovation
societal change,affects,impact on civilization
industrial advancements,improves,manufacturing processes
Alexander Graham Bell,exemplifies,human ingenuity
societal change,drives,e-commerce
connectivity,enables,business
transportation,enhances,global connectivity
future generations,improves,information access
future generations,influences,interact world
connectivity,represents,technological transformation
information access,accessed by,impact on civilization
interact world,interacted with by,impact on civilization
groundbreaking inventions,enabled mechanization of,mechanization
collaboration,ushered in,digital age
revolutionized lives,transformed,digital age
transport goods,necessary for,essential components
accessibility,enhanced by,world
collaboration,facilitates,computer
Industrial Revolution,resulted from,transformation
artificial lighting,influenced,impact on civilization
internet,drives,technological progress
industrial advancements,contributes to,advancements
modern society,serves as,foundation
e-commerce,enables,information access
inventions,represents,technological transformation
global connectivity,fosters,digital technologies
technological advancements,improves,accessibility
connect people,enables,world
connect people,facilitates,technological progress
global connectivity,benefits from,society
technological advancements,enhances,interact world
history,shaped by,modern society
collaboration,occurs in,real time
communication,enables,connect people
cities,improves,accessibility
industrial advancements,drives,accessibility
modern society,shaped by,late 20th century
mobile communication,enhances,accessibility
progress,represents,technological transformation
information access,enables,interact world
groundbreaking inventions,inspired by,transformation
societal change,drives,world
global connectivity,shapes,future generations
mobile communication,enhances,information access
societal change,influences,technological progress
improved quality of life,improves,social media
shaping world,shapes,impact on civilization
mobile communication,enables,interact world
interact world,facilitated by,mobile communication
digital technologies,enhances,communication technologies
communication technologies,utilizes,digital technologies
connectivity,transforms,reshape lives
digital technologies,enables,social media
history,influences,ideas
modern society,drives,computer
mechanization,influences,technological transformation
shaping world,transformed by,e-commerce
technology,facilitates,access information
accessible knowledge,fosters,creativity
information dissemination,enables,interact world
computer,utilized by,groundbreaking inventions
Mesopotamia,improved,transportation
accessibility,enhances,technology
global connectivity,influences,shaping world
modern society,supports,real time
telephone,enables,connect people
Industrial Revolution,facilitated,transport goods
global communication,documents,history
reshape lives,drives,progress
accessible knowledge,enhances,modern transportation
Mesopotamia,demonstrates,human ingenuity
inventions,includes,wheel
computer,facilitates,interact world
technological advancements,shapes,human history
technological advancements,revolutionizes,revolutionized lives
late 20th century,paved the way for,modern computing
reshape lives,reshaped by,world
literacy,is a foundation for,essential components
literacy,contributes to,industrial advancements
groundbreaking inventions,enables,access information
entertainment,drives,societal change
safer,enhanced by,global connectivity
e-commerce,contributes to,global economy
global communication,facilitates,computer
democratization,promotes,societal change
communication,enables,global connectivity
innovation,is a key element of,essential components
transformed urban landscapes,influences,shaping world
human history,shapes,impact on civilization
world,is influenced by,shaping world
shaping world,drives,technological progress
connectivity,fosters,innovation
information dissemination,documents,human history
information dissemination,revolutionizes,revolutionized lives
connectivity,enhances,accessibility
wheel,enabled mechanization of,mechanization
global communication,enables,real time
groundbreaking inventions,resulted from,widespread adoption
history,influenced by,accessibility
creativity,drives innovation in,technology
improved quality of life,contributes to,convenient
connect people,provides,foundation
industrial society,results in,technological transformation
technological advancements,influenced by,digital technologies
wheel,inspired by,technological progress
Industrial Revolution,shapes,shaping world
connectivity,facilitates,interact world
creativity,inspired by,communication
transport goods,enables,technological transformation
printing press,catalyzed by,Industrial Revolution
modern computing,enables,social media
innovation,enhances,technology
impact on civilization,impacts,future generations
transformed urban landscapes,enhances,improved quality of life
reshape lives,reshapes,global economy
society,influenced by,global scale
wheel,replaced by,light bulb
digital age,characterizes,accessibility
millions of people,serves millions of people by,conduct business
future generations,shapes,e-commerce
widespread adoption,provides,convenient
telephone,enables,global connectivity
computer,enhanced by,accessibility
entertainment,shapes,modern society
Thomas Newcomen,developed by,industrial advancements
essential components,comprises,modern transportation
telecommunications,transformed by,global scale
democratization,influences,modern society
technological advancements,influences,future generations
improved quality of life,enhances,business
collaboration,drives,societal change
connectivity,supports,industrial society
process information,enables,future generations
connect people,facilitates,computer
process information,influences,impact on civilization
wheel,is a result of,transformation
groundbreaking inventions,influences,communication technologies
millions of people,enables,share ideas
foundation,serves as foundation for,artificial lighting
access information,enables access to,global scale
technological advancements,inspired by,printing press
spread of knowledge,drives,innovation
global connectivity,enables,technology
groundbreaking inventions,drives,collaboration
global connectivity,enhances,information dissemination
e-commerce,facilitates,process information
access information,enables access to,internet
innovation,supports,foundation
world,has a profound impact on,profound impact
steam engine,powered by,advancements
wheel,enabled by,industrial society
creativity,characterizes,digital age
modern computing,enhanced by,entertainment
education,contributes to,progress
telephone,enabled by,entertainment
democratization,facilitates,modern computing
indoor spaces,provides basis for,foundation
printing press,influenced by,late 19th century
modern computing,driven by,widespread adoption
industrial society,shaped by,spread of knowledge
Industrial Revolution,initiated by,technological advancements
foundation,laid the foundation for,industrial society
industrial society,is built upon by,foundation
society,facilitated the spread of,spread of knowledge
spread of knowledge,is disseminated by,society
electric lighting,replaced,candles
candles,was replaced by,electric lighting
access information,enables access to,process information
widespread adoption,enabled the development of,internet
internet,is a result of,widespread adoption
accessible knowledge,facilitates the spread of,spread of knowledge
inventions,facilitates the transport of,transport goods
transport goods,are transported by,inventions
mechanization,is a result of,human history
human history,influences,mechanization
connectivity,benefits,millions of people
society,promotes the spread of,ideas
ideas,is spread by,society
