id,label
Alan Sokal,Alan Sokal
Cardiff Giant,Cardiff Giant
Han van Meegeren,Han van Meegeren
Piltdown Man,Piltdown Man
Social Text,Social Text
Sokal Affair,Sokal Affair
War of the Worlds,War of the Worlds
academic rigor,academic rigor
archaeology,archaeology
art forgeries,art forgeries
artistic deception,artistic deception
authenticity,authenticity
confusion,confusion
critical analysis,critical analysis
critical thinking,critical thinking
cultural critique,cultural critique
debate,debate
deception,deception
evolutionary theory,evolutionary theory
experts,experts
exposure,exposure
fake news,fake news
fiction,fiction
forgery,forgery
historical narratives,historical narratives
history,history
hoax analysis,hoax analysis
hoaxes,hoaxes
impact on society,impact on society
intellectual discourse,intellectual discourse
manipulation,manipulation
mass hysteria,mass hysteria
mass media,mass media
misinformation,misinformation
misleading,misleading
mythologies,mythologies
panic,panic
postmodernism,postmodernism
profit,profit
public fascination,public fascination
public imagination,public imagination
public perception,public perception
scientific community,scientific community
scientific rigor,scientific rigor
sculpture,sculpture
skepticism,skepticism
transformative hermeneutics,transformative hermeneutics
transformative narratives,transformative narratives
truth,truth
validity,validity
vigilance,vigilance
