id,label
accountability,accountability
accuracy,accuracy
advanced instrumentation,advanced instrumentation
advanced technology,advanced technology
analytical methods,analytical methods
analytical skills,analytical skills
attention to detail,attention to detail
biological analysis,biological analysis
cause of death,cause of death
chemical analysis,chemical analysis
communication skills,communication skills
complex puzzles,complex puzzles
court presentation,court presentation
crime investigation,crime investigation
crime resolution,crime resolution
crime scene investigation,crime scene investigation
criminal justice system,criminal justice system
critical thinking,critical thinking
data analysis,data analysis
evidence analysis,evidence analysis
evidence cataloging,evidence cataloging
evidence collection,evidence collection
evidence preservation,evidence preservation
expert witnesses,expert witnesses
forensic applications,forensic applications
forensic science,forensic science
forensic techniques,forensic techniques
hidden clues,hidden clues
identity determination,identity determination
interdisciplinary approach,interdisciplinary approach
investigation support,investigation support
investigative techniques,investigative techniques
justice,justice
law enforcement collaboration,law enforcement collaboration
legal issues,legal issues
logical conclusions,logical conclusions
mass spectrometry,mass spectrometry
meticulous documentation,meticulous documentation
modern investigations,modern investigations
physical characteristics,physical characteristics
pressure work,pressure work
problem-solving,problem-solving
problem-solving techniques,problem-solving techniques
prosecution assistance,prosecution assistance
reconstruction,reconstruction
reliability,reliability
scanning electron microscopy,scanning electron microscopy
scientific methods,scientific methods
scientific principles,scientific principles
solving crimes,solving crimes
sophisticated techniques,sophisticated techniques
substance identification,substance identification
technological advancements,technological advancements
trace evidence,trace evidence
valuable evidence,valuable evidence
