source,relation,target,speaker,role
calligraphy history,influences,graphic design,,none
intricate scripts,utilizes,bamboo pen,,none
self-expression,enables,intricate scripts,,none
calligraphy history,is used by,reed pen,,none
decorative scripts,is a form of,shufa,,none
creativity,inspired by,brush strokes,,none
nobility,appreciated by,decorative art,,none
nobility,practiced by,Chinese calligraphy,,none
creativity,is utilized in,modern applications,,none
self-expression,is expressed through,decorative scripts,,none
creativity,enhances,spiritual discipline,,none
aesthetics,is defined by,letterforms,,none
shodo,is associated with,legacy,,none
aesthetics,contributes to,spacing,,none
synthetic fibers,is utilized in,techniques,,none
East Asia,is practiced in,shufa,,none
decorative scripts,involves,techniques,,none
East Asia,is preserved by,cultural heritage,,none
historical records,is connected to,modern applications,,none
unique styles,influences,nobility,,none
high art form,is valued by,scholars,,none
reed pen,is used in,typography,,none
Chinese philosophy,is influenced by,letterforms,,none
Chinese philosophy,is influenced by,spacing,,none
Arabic calligraphy,is a form of,shufa,,none
high art form,is a means of,self-expression,,none
Japanese calligraphy,is influenced by,letterforms,,none
important texts,is preserved in,beauty,,none
Japanese calligraphy,is influenced by,spacing,,none
Islamic culture,is influenced by,letterforms,,none
Islamic culture,is influenced by,spacing,,none
reed pen,is utilized in,techniques,,none
shodo,is a form of,decorative art,,none
Western calligraphy,practiced by,scholars,,none
rhythm,embodies,Arabic script,,none
beauty,conveys,letterforms,,none
graphic design,utilized in,self-expression,,none
brush strokes,reflects,Chinese philosophy,,none
Islamic culture,influences,aesthetics,,none
nobility,produced by,important texts,,none
rhythm,characterized by,Chinese calligraphy,,none
shodo,crafted from,animal hair,,none
scholars,studied by,ancient China,,none
brush strokes,utilized in,tools,,none
shodo,influenced by,self-expression,,none
Western calligraphy,inspired by,graphic design,,none
synthetic fibers,used for,bamboo pen,,none
rhythm,expressed through,self-expression,,none
Chinese calligraphy,practiced in,ancient civilizations,,none
intricate scripts,inspired by,creativity,,none
Japanese calligraphy,exhibits,visual appeal,,none
Islamic culture,influences,Japanese calligraphy,,none
beauty,embodies,calligraphy history,,none
ancient China,practiced in,spiritual discipline,,none
Arabic calligraphy,influenced by,calligraphy history,,none
Arabic script,related to,calligraphy history,,none
shodo,exemplified by,meditative qualities,,none
unique styles,defined by,techniques,,none
bamboo pen,compared to,reed pen,,none
ancient China,produced,intricate scripts,,none
Western calligraphy,expressed in,rhythm,,none
legacy,represents,letterforms,,none
characters,created with,tools,,none
spacing,contributes to,legacy,,none
beauty,embodies,East Asia,,none
scholars,studied by,East Asia,,none
Chinese philosophy,characterized by,shufa,,none
modern applications,applied in,digital art,,none
historical records,preserved in,creativity,,none
communication,preserves,important texts,,none
digital art,expressed through,scholars,,none
aesthetics,influences,shufa,,none
typography,utilized in,shufa,,none
aesthetics,expressed through,self-expression,,none
scholars,practiced by,Arabic calligraphy,,none
nobility,associated with,cultural heritage,,none
modern applications,utilizes,writing instruments,,none
shufa,influences,unique styles,,none
Arabic calligraphy,facilitates,self-expression,,none
decorative art,complements,letterforms,,none
traditional art,is a form of,shufa,,none
decorative art,enhances,spacing,,none
brush strokes,involves,high art form,,none
East Asia,produced,intricate scripts,,none
unique styles,inspired by,craftsmanship,,none
typography,utilizes,techniques,,none
