source,relation,target,speaker,role
Cinderella,worn by,glass slipper,,none
glass slipper,belongs to,Cinderella,,none
magical elements,collected by,Brothers Grimm,,none
Brothers Grimm,features in,magical elements,,none
oral traditions,informs,storytelling,,none
storytelling,inspired by,oral traditions,,none
Italian traditions,influenced by,moral lessons,,none
folklore,features in,cannibalistic witch,,none
cannibalistic witch,is part of,folklore,,none
Slavic traditions,inspired by,cultural variations,,none
Charles Perrault,represents,cultural significance,,none
heroic characters,inspired by,ancient myths,,none
ancient myths,depicts,heroic characters,,none
German traditions,originated from,Hansel and Gretel,,none
cultural heritage,encompasses,retelling,,none
classic stories,includes,cultural heritage,,none
cultural variations,intersects with,cultural heritage,,none
beloved stories,cherished by,Italian traditions,,none
cultural variations,reflected in,human experience,,none
happily ever after,published by,Brothers Grimm,,none
Brothers Grimm,is a theme in,happily ever after,,none
Italian traditions,influenced by,cultural variations,,none
Hansel and Gretel,features,magical elements,,none
magical elements,is part of,Hansel and Gretel,,none
German traditions,compiled by,Brothers Grimm,,none
folklore,informs,timeless themes,,none
timeless themes,is represented by,folklore,,none
moral lessons,conveys,classic tales,,none
enchanting stories,involves,retelling,,none
beloved stories,appreciated in,imagination,,none
oral traditions,informs,Slavic traditions,,none
Slavic traditions,is part of,oral traditions,,none
Hansel and Gretel,features,children,,none
children,is about,Hansel and Gretel,,none
wit,informs,ancient myths,,none
ancient myths,is represented by,wit,,none
bravery,demonstrates,beloved stories,,none
German traditions,associated with,woods,,none
Snow White,is utilized by,wit,,none
wit,is a characteristic of,Snow White,,none
ancient origins,inspired by,Charles Perrault,,none
Charles Perrault,is a source for,ancient origins,,none
Cinderella,authored,Charles Perrault,,none
woods,abandoned in,siblings,,none
Italian traditions,influenced by,oral traditions,,none
ancient Greece,influenced by,heroic characters,,none
fairytales,inspired by,Hansel and Gretel,,none
sweets,belongs to,cannibalistic witch,,none
ancient myths,derived from,classic tales,,none
Brothers Grimm,preserved by,oral traditions,,none
Galatea,inspired by,glass slipper,,none
wicked stepmother,overcame by,triumph,,none
Slavic traditions,influenced by,enduring popularity,,none
transformation,characterized by,enchanting stories,,none
Pygmalion,inspired by,imagination,,none
cannibalistic witch,outsmarted by,wit,,none
beloved stories,inspired by,creativity,,none
Pygmalion,reflected in,human experience,,none
Rhodopis,recorded in,history,,none
classic stories,inspired by,Hansel and Gretel,,none
human experience,influences,cultural heritage,,none
ancient myths,derived from,magical elements,,none
love,contributes to,enduring popularity,,none
Galatea,inspired by,happily ever after,,none
heroic characters,represents,cultural significance,,none
ancient origins,originated in,ancient Greece,,none
imagination,stimulates,enduring popularity,,none
bravery,outsmarted by,cannibalistic witch,,none
fairytales,collected by,Brothers Grimm,,none
fairytales,features,magical elements,,none
creativity,fuels,enduring popularity,,none
oral traditions,preserved by,Rhodopis,,none
ancient myths,inspired by,moral lessons,,none
witches,is associated with,retelling,,none
witches,influences,cultural heritage,,none
creativity,informs,Slavic traditions,,none
ancient myths,inspired by,cultural variations,,none
fairy godmother,introduces,retelling,,none
German traditions,shapes,connection,,none
German traditions,is celebrated by,triumph,,none
Charles Perrault,influenced by,cultural variations,,none
ancient origins,is reflected in,cultural significance,,none
beloved stories,is rooted in,European folklore,,none
fairy godmother,is enhanced by,enduring popularity,,none
imagination,sparks,creativity,,none
classic tales,engages,captivating audiences,,none
connection,represents,siblings,,none
enduring popularity,is supported by,classic tales,,none
bravery,is exemplified by,cultural heritage,,none
sweets,is featured in,cultural heritage,,none
folklore,informs,classic tales,,none
cultural variations,is influenced by,jealousy,,none
storytelling,compiled by,Brothers Grimm,,none
love,is embodied in,enchanting stories,,none
classic tales,is significant for,cultural significance,,none
cultural variations,is characterized by,cannibalistic witch,,none
bravery,is demonstrated by,enchanting stories,,none
fairytales,is a form of,retelling,,none
fairytales,includes,classic stories,,none
cannibalistic witch,is represented by,cultural significance,,none
cannibalistic witch,inspired by,ancient myths,,none
Pygmalion,resulted in,triumph,,none
Pygmalion,is linked to,connection,,none
human experience,influences,oral traditions,,none
Galatea,associated with,lost slipper,,none
triumph,inspired by,captivating audiences,,none
folklore,is influenced by,Italian traditions,,none
ancient Greece,influenced by,cultural variations,,none
creativity,inspired by,fairy godmother,,none
sweets,enhances,storytelling,,none
witches,opposes,Hansel and Gretel,,none
moral lessons,contributes to,enduring popularity,,none
Pygmalion,inspired by,timeless themes,,none
cultural heritage,rooted in,history,,none
Cinderella,utilizes,wit,,none
Charles Perrault,influenced by,Italian traditions,,none
folklore,fosters,creativity,,none
cultural myths,influences,captivating audiences,,none
retelling,based on,ancient myths,,none
Rhodopis,embodies,timeless themes,,none
Italian traditions,influenced by,history,,none
moral lessons,enhances,cultural significance,,none
retelling,inspired by,Charles Perrault,,none
wit,contributes to,captivating audiences,,none
ancient myths,influences,enduring popularity,,none
creativity,shapes,history,,none
classic tales,explores,love,,none
Galatea,inspired by,Charles Perrault,,none
seven dwarfs,supports,siblings,,none
stroke of midnight,opposes,wicked stepmother,,none
Galatea,associated with,Snow White,,none
Charles Perrault,contributes to,enduring popularity,,none
cultural myths,influences,European folklore,,none
cannibalistic witch,threatens,stroke of midnight,,none
classic tales,includes,enchanting stories,,none
cannibalistic witch,features,Italian traditions,,none
cultural myths,shapes,beloved stories,,none
witches,influences,imagination,,none
captivating audiences,enhances,storytelling,,none
fairy godmother,influenced by,ancient Greece,,none
cultural variations,enhances,cultural significance,,none
beloved stories,inspired by,love,,none
children,influenced by,German traditions,,none
cultural heritage,rooted in,jealousy,,none
wit,inspired by,German traditions,,none
transformation,explores,retelling,,none
sweets,attracts,Hansel and Gretel,,none
stroke of midnight,associated with,glass slipper,,none
folklore,influences,fairy godmother,,none
Italian traditions,influenced by,jealousy,,none
love,involves,Hansel and Gretel,,none
ancient Greece,influenced by,Italian traditions,,none
cannibalistic witch,features,enduring popularity,,none
Hansel and Gretel,achieves,happily ever after,,none
creativity,inspired by,jealousy,,none
children,features,magical elements,,none
timeless themes,influenced by,Italian traditions,,none
oral traditions,engages,captivating audiences,,none
oral traditions,contributes to,enduring popularity,,none
creativity,inspired by,ancient myths,,none
jealousy,influences,oral traditions,,none
beloved stories,shapes,cultural heritage,,none
happily ever after,associated with,stroke of midnight,,none
storytelling,influences,ancient myths,,none
captivating audiences,inspired,Brothers Grimm,,none
enchanting stories,features,magical elements,,none
folklore,influences,ancient myths,,none
classic tales,contains,magical elements,,none
enduring popularity,contributes to,cultural significance,,none
jealousy,teaches,moral lessons,,none
Cinderella,loses,lost slipper,,none
Cinderella,grants,fairy godmother,,none
Hansel and Gretel,assisted by,seven dwarfs,,none
witches,defeated by,triumph,,none
witches,caused by,transformation,,none
triumph,achieved in,woods,,none
witches,influenced by,timeless themes,,none
moral lessons,complements,magical elements,,none
Hansel and Gretel,are,siblings,,none
Italian traditions,influences,storytelling,,none
creativity,represents,cultural significance,,none
Rhodopis,reflects,cultural heritage,,none
ancient Greece,originated from,folklore,,none
Italian traditions,part of,Rhodopis,,none
classic stories,is a type of,enchanting stories,,none
creativity,inspired by,Rhodopis,,none
enduring popularity,enhances,storytelling,,none
retelling,involves,classic tales,,none
moral lessons,fosters,connection,,none
folklore,entertains,captivating audiences,,none
moral lessons,are inherent in,fairytales,,none
enduring popularity,is a result of,folklore,,none
beloved stories,embodies,timeless themes,,none
moral lessons,informs,cultural heritage,,none
Snow White,is pursued by,wicked stepmother,,none
folklore,contributes to,cultural significance,,none
European folklore,is a form of,storytelling,,none
creativity,demonstrates,wit,,none
classic tales,illustrates,human experience,,none
seven dwarfs,is opposed by,cannibalistic witch,,none
retelling,is a part of,moral lessons,,none
creativity,enhances,storytelling,,none
classic tales,provides,insights,,none
Italian traditions,nurtures,creativity,,none
heroic characters,drives,enduring popularity,,none
Italian traditions,influences,human experience,,none
oral traditions,facilitates,connection,,none
enduring popularity,enhances,magical elements,,none
human experience,shapes,creativity,,none
oral traditions,inspire,heroic characters,,none
European folklore,influenced by,Charles Perrault,,none
magical elements,provide,insights,,none
cultural myths,shapes,history,,none
folklore,enriches,enchanting stories,,none
Brothers Grimm,collected by,woods,,none
cultural myths,reflect,timeless themes,,none
triumph,achieved through,wit,,none
love,informs,history,,none
moral lessons,offer,insights,,none
ancient origins,contributes to,enduring popularity,,none
Pygmalion,inspired by,lost slipper,,none
Hansel and Gretel,teaches,moral lessons,,none
insights,provides,happily ever after,,none
connection,facilitates,storytelling,,none
insights,offers,Brothers Grimm,,none
oral traditions,involves,retelling,,none
oral traditions,inspire,classic stories,,none
captivating audiences,drives,enduring popularity,,none
fairytales,is a result of,enduring popularity,,none
transformation,involves,Hansel and Gretel,,none
captivating audiences,enhances,cultural significance,,none
storytelling,features,magical elements,,none
