id,label
agricultural runoff,agricultural runoff
awareness raising,awareness raising
biodiversity,biodiversity
climate change,climate change
coastal areas,coastal areas
coastal communities,coastal communities
coastal protection,coastal protection
commercially important fish,commercially important fish
conservation efforts,conservation efforts
conservation management,conservation management
coral bleaching,coral bleaching
coral health,coral health
coral polyps,coral polyps
coral reefs,coral reefs
destructive practices,destructive practices
ecosystem management,ecosystem management
ecosystem protection,ecosystem protection
ecosystem resilience,ecosystem resilience
ecosystem services,ecosystem services
environmental impact,environmental impact
environmental stressors,environmental stressors
erosion prevention,erosion prevention
food security,food security
fragile habitats,fragile habitats
future generations,future generations
global food security,global food security
greenhouse gas emissions,greenhouse gas emissions
habitat for species,habitat for species
habitat preservation,habitat preservation
health of oceans,health of oceans
human well-being,human well-being
integral role,integral role
international cooperation,international cooperation
livelihood support,livelihood support
local economies,local economies
local efforts,local efforts
local fisheries,local fisheries
marine biodiversity,marine biodiversity
marine ecosystems,marine ecosystems
marine life,marine life
marine protected areas,marine protected areas
marine resources,marine resources
marine tourism,marine tourism
national policies,national policies
natural barriers,natural barriers
ocean acidification,ocean acidification
overfishing,overfishing
plastic waste,plastic waste
pollution,pollution
rainforest of the sea,rainforest of the sea
rising sea temperatures,rising sea temperatures
storm mitigation,storm mitigation
sustainable fishing,sustainable fishing
sustainable practices,sustainable practices
threats,threats
tourism,tourism
urgent action,urgent action
urgent need,urgent need
water quality,water quality
