source,relation,target,speaker,role
natural barriers,act as,fragile habitats,,none
tourism,attracts,coastal areas,,none
commercially important fish,support,local fisheries,,none
sustainable fishing,provides,coastal protection,,none
local efforts,benefits from,future generations,,none
future generations,supports,local efforts,,none
local fisheries,depends on,habitat preservation,,none
coastal communities,provides,coastal protection,,none
livelihood support,contributes to,global food security,,none
natural barriers,provides,ecosystem protection,,none
rising sea temperatures,threatened by,habitat for species,,none
coastal areas,achieves,erosion prevention,,none
national policies,enhances,ecosystem resilience,,none
livelihood support,benefits from,future generations,,none
natural barriers,provides,erosion prevention,,none
awareness raising,supports,food security,,none
local efforts,facilitated by,erosion prevention,,none
habitat preservation,impacts,environmental stressors,,none
urgent action,requires,ecosystem management,,none
pollution,benefits from,storm mitigation,,none
coral reefs,is protected by,ecosystem protection,,none
marine resources,supports,habitat preservation,,none
overfishing,causes,environmental impact,,none
ecosystem services,contributes to,ecosystem resilience,,none
coastal areas,benefits from,livelihood support,,none
local efforts,impacts,destructive practices,,none
local economies,benefits from,habitat preservation,,none
tourism,plays,integral role,,none
destructive practices,is affected by,environmental impact,,none
international cooperation,enhances,ecosystem services,,none
habitat preservation,is supported by,integral role,,none
international cooperation,facilitates,local efforts,,none
marine tourism,promotes,conservation efforts,,none
conservation management,benefits from,future generations,,none
climate change,requires,sustainable practices,,none
commercially important fish,supports,marine tourism,,none
threats,threatens,livelihood support,,none
awareness raising,contributes to,erosion prevention,,none
coral health,affects,greenhouse gas emissions,,none
coastal areas,is supported by,ecosystem protection,,none
international cooperation,enhances,livelihood support,,none
overfishing,contributes to,sustainable practices,,none
marine resources,enhances,ecosystem resilience,,none
habitat for species,supports,ecosystem resilience,,none
livelihood support,boosts,marine tourism,,none
health of oceans,threatens,coral bleaching,,none
local economies,contributes to,ecosystem resilience,,none
marine ecosystems,protects,ecosystem protection,,none
destructive practices,undermines,sustainable practices,,none
marine tourism,supports,ecosystem protection,,none
awareness raising,promotes,habitat preservation,,none
livelihood support,requires,urgent action,,none
marine protected areas,facilitates,conservation management,,none
marine resources,depletes,destructive practices,,none
conservation management,complicates,destructive practices,,none
awareness raising,supports,marine protected areas,,none
erosion prevention,aids in,marine tourism,,none
urgent need,highlights,ecosystem protection,,none
awareness raising,enhances,coastal protection,,none
ecosystem resilience,supports,local fisheries,,none
health of oceans,affects,habitat for species,,none
international cooperation,enhances,marine resources,,none
international cooperation,improves,conservation management,,none
water quality,improves,sustainable practices,,none
erosion prevention,mitigates,water quality,,none
livelihood support,provides,sustainable fishing,,none
storm mitigation,facilitates,awareness raising,,none
destructive practices,exacerbates,environmental stressors,,none
erosion prevention,contributes to,pollution,,none
environmental impact,influences,storm mitigation,,none
awareness raising,raises,pollution,,none
marine tourism,supports,marine protected areas,,none
livelihood support,plays,integral role,,none
coastal protection,provides,marine tourism,,none
coastal communities,raises,awareness raising,,none
livelihood support,supports,local economies,,none
global food security,benefits from,storm mitigation,,none
commercially important fish,plays,integral role,,none
awareness raising,benefits from,human well-being,,none
environmental impact,impacts,human well-being,,none
habitat preservation,contributes to,tourism,,none
coral reefs,is supported by,ecosystem resilience,,none
coral bleaching,provides,habitat for species,,none
climate change,is influenced by,storm mitigation,,none
pollution,is affected by,marine tourism,,none
future generations,requires,ecosystem management,,none
ecosystem protection,supports,local economies,,none
marine ecosystems,is dependent on,health of oceans,,none
biodiversity,affects,coral health,,none
future generations,requires,international cooperation,,none
local efforts,is addressed by,agricultural runoff,,none
overfishing,is influenced by,international cooperation,,none
habitat preservation,threatens,threats,,none
coral health,supports,habitat for species,,none
erosion prevention,is aided by,global food security,,none
tourism,enhances,ecosystem resilience,,none
natural barriers,raises,awareness raising,,none
environmental impact,is impacted by,natural barriers,,none
global food security,is supported by,sustainable practices,,none
national policies,is shaped by,commercially important fish,,none
marine biodiversity,is influenced by,health of oceans,,none
threats,is threatened by,storm mitigation,,none
international cooperation,is needed for,destructive practices,,none
livelihood support,provides,ecosystem services,,none
livelihood support,is enhanced by,local efforts,,none
erosion prevention,is necessary for,urgent action,,none
coral health,is vital for,coral reefs,,none
local fisheries,depends on,urgent need,,none
coastal communities,impacts,threats,,none
marine life,supports,biodiversity,,none
threats,threatened by,human well-being,,none
coastal communities,enhances,marine biodiversity,,none
ocean acidification,affects,marine life,,none
sustainable fishing,promotes,conservation efforts,,none
tourism,benefits from,commercially important fish,,none
coastal protection,requires,conservation efforts,,none
climate change,affected by,natural barriers,,none
climate change,threatens,global food security,,none
natural barriers,surrounds,coastal areas,,none
urgent action,is necessary for,coastal protection,,none
urgent action,depends on,human well-being,,none
overfishing,impacts,tourism,,none
coastal areas,supports,marine ecosystems,,none
marine ecosystems,includes,marine biodiversity,,none
coastal communities,is enriched by,biodiversity,,none
marine biodiversity,is a type of,biodiversity,,none
natural barriers,supports,marine ecosystems,,none
natural barriers,is challenged by,threats,,none
coastal areas,is vital for,marine biodiversity,,none
local economies,supports,food security,,none
greenhouse gas emissions,is influenced by,global food security,,none
commercially important fish,is sustained by,marine resources,,none
sustainable fishing,is enhanced by,human well-being,,none
marine life,affects,coral bleaching,,none
overfishing,is a consequence of,threats,,none
pollution,affects,water quality,,none
ocean acidification,is impacted by,biodiversity,,none
natural barriers,requires,urgent action,,none
climate change,poses risks to,threats,,none
conservation efforts,is addressed by,environmental stressors,,none
local economies,is supported by,human well-being,,none
biodiversity,supports,coastal areas,,none
climate change,necessitates,urgent need,,none
marine resources,requires,conservation efforts,,none
food security,depends on,future generations,,none
local economies,benefits from,conservation efforts,,none
ecosystem services,provides,marine life,,none
natural barriers,mitigates,ocean acidification,,none
fragile habitats,threatened by,rising sea temperatures,,none
local fisheries,supports,global food security,,none
future generations,ensures,human well-being,,none
pollution,impacts,global food security,,none
threats,affects,water quality,,none
coral bleaching,causes,rising sea temperatures,,none
tourism,enhances,sustainable fishing,,none
local economies,supports,coastal areas,,none
marine protected areas,contributes to,food security,,none
climate change,influences,sustainable fishing,,none
ecosystem services,provides,human well-being,,none
marine life,increases,greenhouse gas emissions,,none
future generations,ensures,natural barriers,,none
coastal communities,benefits from,tourism,,none
future generations,creates,agricultural runoff,,none
climate change,affects,local economies,,none
natural barriers,act as,sustainable practices,,none
sustainable practices,require,natural barriers,,none
tourism,enhances,human well-being,,none
marine resources,supports,marine life,,none
environmental stressors,requires,marine protected areas,,none
pollution,exacerbates,threats,,none
human well-being,contributes to,livelihood support,,none
storm mitigation,facilitates,greenhouse gas emissions,,none
environmental stressors,provides,coastal protection,,none
livelihood support,enhances,ecosystem management,,none
ecosystem management,sustains,coral reefs,,none
marine tourism,depends on,biodiversity,,none
marine resources,enhances,coastal protection,,none
marine resources,depends on,food security,,none
food security,is supported by,conservation management,,none
future generations,ensures,coastal protection,,none
agricultural runoff,creates,urgent need,,none
international cooperation,promotes,ecosystem protection,,none
overfishing,threatens,conservation efforts,,none
overfishing,affects,food security,,none
storm mitigation,is improved by,conservation management,,none
natural barriers,provides,ecosystem services,,none
sustainable fishing,supports,local fisheries,,none
erosion prevention,aids in,habitat preservation,,none
pollution,requires,urgent action,,none
natural barriers,involves,local efforts,,none
environmental stressors,exacerbates,pollution,,none
marine life,supports,coastal communities,,none
plastic waste,results from,destructive practices,,none
health of oceans,depends on,fragile habitats,,none
coastal communities,is managed by,conservation management,,none
livelihood support,highlights,urgent need,,none
ecosystem protection,is essential for,ecosystem management,,none
environmental impact,affects,water quality,,none
human well-being,is enhanced by,marine resources,,none
human well-being,is supported by,conservation management,,none
awareness raising,promotes,sustainable practices,,none
national policies,influences,local fisheries,,none
marine protected areas,facilitates,habitat preservation,,none
marine tourism,plays,integral role,,none
destructive practices,threatens,habitat preservation,,none
future generations,ensures,ecosystem resilience,,none
tourism,supports,conservation efforts,,none
future generations,is impacted by,pollution,,none
storm mitigation,benefits from,local fisheries,,none
urgent need,requires,local efforts,,none
awareness raising,promotes,tourism,,none
climate change,influences,environmental impact,,none
erosion prevention,supports,tourism,,none
conservation management,improves,water quality,,none
ocean acidification,threatens,coral health,,none
marine tourism,shapes,national policies,,none
international cooperation,enhances,ecosystem resilience,,none
destructive practices,threatened by,food security,,none
international cooperation,addresses,pollution,,none
coral reefs,provided by,ecosystem services,,none
coastal areas,supports,local fisheries,,none
sustainable practices,mitigated by,pollution,,none
coastal protection,protected by,overfishing,,none
local economies,depends on,local fisheries,,none
coral health,affects,fragile habitats,,none
awareness raising,combats,greenhouse gas emissions,,none
conservation management,managed by,climate change,,none
global food security,supports,ecosystem services,,none
coral health,impacts,coral bleaching,,none
urgent action,necessitates,conservation efforts,,none
coastal communities,benefits from,natural barriers,,none
environmental stressors,exacerbated by,natural barriers,,none
marine tourism,drives,tourism,,none
pollution,shapes,national policies,,none
tourism,establishes,marine protected areas,,none
erosion prevention,threatens,threats,,none
ecosystem management,enhanced by,food security,,none
tourism,provides,coastal protection,,none
sustainable practices,improves,coastal areas,,none
habitat for species,serves as,marine life,,none
livelihood support,ensures,food security,,none
pollution,requires,local efforts,,none
coral reefs,supports,biodiversity,,none
threats,impacted by,sustainable fishing,,none
ocean acidification,contributes to,greenhouse gas emissions,,none
commercially important fish,supports,food security,,none
coastal communities,located in,coastal areas,,none
urgent need,driven by,sustainable fishing,,none
global food security,threatens,environmental stressors,,none
ecosystem services,benefits from,coastal areas,,none
tourism,impacts,pollution,,none
marine ecosystems,necessitates,coastal communities,,none
marine ecosystems,threatens,ecosystem services,,none
coastal protection,enhances,threats,,none
marine protected areas,improves,water quality,,none
pollution,contributes to,greenhouse gas emissions,,none
urgent need,requires,human well-being,,none
overfishing,exacerbates,climate change,,none
fragile habitats,threatens,coral bleaching,,none
conservation efforts,influences,plastic waste,,none
biodiversity,enhances,marine ecosystems,,none
urgent action,demands,ecosystem services,,none
marine resources,supports,marine ecosystems,,none
environmental stressors,creates,threats,,none
sustainable fishing,benefits,local economies,,none
biodiversity,affects,coral bleaching,,none
marine resources,enhances,marine biodiversity,,none
local fisheries,threatens,pollution,,none
coral reefs,constitutes,marine ecosystems,,none
marine protected areas,protected by,commercially important fish,,none
urgent need,requires,local economies,,none
urgent action,demands,environmental stressors,,none
coral reefs,supports,marine biodiversity,,none
greenhouse gas emissions,mitigates,urgent action,,none
local economies,benefits from,coastal communities,,none
tourism,influences,environmental impact,,none
awareness raising,necessitates,urgent need,,none
marine tourism,attracts,coastal areas,,none
coastal communities,supports,food security,,none
local economies,impacts,environmental stressors,,none
coastal protection,requires,local efforts,,none
marine tourism,promotes,awareness raising,,none
marine resources,plays,integral role,,none
sustainable practices,guides,national policies,,none
food security,enhances,human well-being,,none
urgent action,supports,local fisheries,,none
conservation management,informs,greenhouse gas emissions,,none
local economies,contributes to,integral role,,none
commercially important fish,provides,human well-being,,none
rising sea temperatures,threatens,marine life,,none
marine protected areas,enhances,biodiversity,,none
marine ecosystems,depends on,marine tourism,,none
national policies,influences,local efforts,,none
storm mitigation,provides,ecosystem services,,none
greenhouse gas emissions,contributes to,environmental impact,,none
sustainable practices,requires,local efforts,,none
marine protected areas,supports,conservation efforts,,none
plastic waste,causes,pollution,,none
ecosystem services,provides,coastal communities,,none
conservation efforts,hinders,destructive practices,,none
global food security,threatens,threats,,none
pollution,affects,coastal areas,,none
sustainable practices,influences,environmental stressors,,none
destructive practices,supports,livelihood support,,none
ecosystem services,provides,local efforts,,none
marine life,requires,habitat preservation,,none
future generations,ensures,erosion prevention,,none
greenhouse gas emissions,is impacted by,coastal protection,,none
livelihood support,supports,storm mitigation,,none
conservation management,guides,environmental impact,,none
coastal protection,supports,local fisheries,,none
human well-being,enhances,marine protected areas,,none
coastal communities,depends on,marine resources,,none
ecosystem services,provides,marine resources,,none
future generations,benefits from,tourism,,none
rising sea temperatures,increases,ocean acidification,,none
rising sea temperatures,mitigates,natural barriers,,none
threats,requires,urgent action,,none
plastic waste,affects,water quality,,none
natural barriers,benefits from,marine life,,none
biodiversity,supports,marine resources,,none
coastal areas,includes,marine protected areas,,none
overfishing,contributes to,sustainable fishing,,none
coastal areas,provides,coastal protection,,none
local economies,impacts,pollution,,none
local economies,depends on,marine resources,,none
marine resources,supports,local fisheries,,none
future generations,relies on,local fisheries,,none
climate change,provides,coastal protection,,none
coral reefs,threatens,coral bleaching,,none
environmental stressors,affects,future generations,,none
climate change,contributes to,pollution,,none
plastic waste,poses risk to,threats,,none
local fisheries,supports,marine protected areas,,none
health of oceans,supports,natural barriers,,none
destructive practices,threatens,local fisheries,,none
ecosystem protection,requires,urgent action,,none
habitat for species,provides,coral reefs,,none
coral health,depends on,health of oceans,,none
marine tourism,promotes,habitat preservation,,none
urgent action,benefits,local economies,,none
coastal communities,involves,ecosystem management,,none
ecosystem management,benefits from,ecosystem services,,none
future generations,raises,awareness raising,,none
urgent need,necessitates,coastal protection,,none
human well-being,supports,ecosystem management,,none
threats,influences,national policies,,none
international cooperation,benefits,local fisheries,,none
habitat preservation,enhances,water quality,,none
future generations,depends on,global food security,,none
marine ecosystems,comprises,fragile habitats,,none
coastal areas,exacerbates,destructive practices,,none
marine tourism,depends on,marine resources,,none
threats,addresses,local efforts,,none
sustainable practices,necessitates,urgent need,,none
overfishing,requires,conservation management,,none
destructive practices,impacts,local economies,,none
marine ecosystems,affects,coral bleaching,,none
international cooperation,mitigates,environmental stressors,,none
ecosystem services,supports,habitat for species,,none
destructive practices,contributes to,natural barriers,,none
commercially important fish,is crucial for,ecosystem protection,,none
habitat preservation,threatens,pollution,,none
environmental stressors,impacts,coastal areas,,none
environmental impact,informs,sustainable fishing,,none
urgent need,requires,ecosystem services,,none
livelihood support,facilitates,erosion prevention,,none
future generations,is influenced by,climate change,,none
marine tourism,enhances,ecosystem resilience,,none
marine biodiversity,affects,coral bleaching,,none
ecosystem protection,plays,integral role,,none
livelihood support,promotes,sustainable practices,,none
overfishing,threatens,local fisheries,,none
tourism,is essential for,conservation management,,none
coastal areas,influences,water quality,,none
global food security,is supported by,ecosystem protection,,none
coastal areas,requires,ecosystem management,,none
local economies,is influenced by,ecosystem management,,none
pollution,threatens,marine resources,,none
local economies,is impacted by,environmental impact,,none
fragile habitats,comprises,marine life,,none
natural barriers,is managed by,ecosystem management,,none
threats,exacerbates,greenhouse gas emissions,,none
environmental stressors,demands,urgent need,,none
local fisheries,supports,tourism,,none
threats,threatens,future generations,,none
fragile habitats,is affected by,ocean acidification,,none
future generations,is essential for,urgent need,,none
threats,affects,marine resources,,none
coral bleaching,is caused by,ocean acidification,,none
coastal protection,benefits from,global food security,,none
future generations,requires,urgent action,,none
marine protected areas,protects,marine ecosystems,,none
sustainable fishing,supports,food security,,none
marine ecosystems,affects,ocean acidification,,none
threats,threatens,local fisheries,,none
greenhouse gas emissions,increases,rising sea temperatures,,none
conservation efforts,requires,food security,,none
marine protected areas,supports,marine biodiversity,,none
marine biodiversity,benefits from,marine protected areas,,none
pollution,contributes to,overfishing,,none
overfishing,impacted by,pollution,,none
future generations,supports,sustainable fishing,,none
sustainable fishing,ensures for,future generations,,none
coastal communities,benefits from,conservation efforts,,none
conservation efforts,supports,coastal communities,,none
ecosystem services,provides,food security,,none
food security,depends on,ecosystem services,,none
human well-being,enhanced by,conservation efforts,,none
conservation efforts,supports,human well-being,,none
coral reefs,has a lot of,biodiversity,,none
coral reefs,referred to as,rainforest of the sea,,none
coral polyps,make up,coral reefs,,none
coral reefs,houses a quarter of,marine life,,none
coral reefs,a destination of,marine tourism,,none
