source,relation,target,speaker,role
diversity,influences,fashion trends,,none
designer brands,shaped by,social media,,none
ready-to-wear,sourced ethically by,ethical sourcing,,none
nobles,wore,luxurious fabrics,,none
ready-to-wear,promoted by,social media,,none
sumptuary laws,regulated by,elaborate garments,,none
department stores,enabled by,mass production,,none
department stores,promoted by,sustainable fashion,,none
youth culture,influences,sustainable fashion,,none
democratized fashion,represents,cultural identity,,none
youth culture,enables,self-expression,,none
simpler clothing,contrasts with,ready-to-wear,,none
social commentary,influenced by,religion influence,,none
body positivity,emerged from,20th century,,none
influencers,shaped by,fashion plates,,none
social commentary,reflects,trend dissemination,,none
sustainable fashion,contrasts with,luxury fashion,,none
self-expression,inspired by,social movements,,none
mass production,enabled by,recycling,,none
mass production,facilitated by,ethical sourcing,,none
economic factors,shaped,historical evolution,,none
luxurious fabrics,featured in,fashion magazines,,none
diversity,promoted by,democratized fashion,,none
youth culture,influenced,fashion plates,,none
religion influence,influenced by,cultural influences,,none
self-expression,associated with,designer brands,,none
mass production,enabled by,wealth and status,,none
recycling,contributes to,sustainable fashion,,none
luxurious fabrics,used in,religion influence,,none
social commentary,supports,body positivity,,none
elaborate garments,applied to,ethical sourcing,,none
social hierarchy,dictated by,ready-to-wear,,none
common people,contrasts with,luxury fashion,,none
fashion trends,influenced by,fashion plates,,none
cultural influences,shaped by,body positivity,,none
printing press,enabled by,department stores,,none
social commentary,driven by,social movements,,none
individualism,characterized by,eclectic styles,,none
economic factors,influenced by,Industrial Revolution,,none
trend dissemination,influenced,designers,,none
eclectic styles,promotes,sustainable fashion,,none
luxurious fabrics,contrasts with,simpler clothing,,none
elaborate garments,featured in,fashion magazines,,none
common people,accessible to,ethical sourcing,,none
social commentary,associated with,designer brands,,none
nobles,enabled by,printing press,,none
democratized fashion,enabled,printing press,,none
sumptuary laws,regulates,social hierarchy,,none
fashion magazines,influenced by,fashion trends,,none
wealth and status,symbolizes,printing press,,none
designer brands,reflects,wealth and status,,none
ethical sourcing,influenced by,fashion magazines,,none
wealth and status,reflects,ready-to-wear,,none
fashion magazines,shapes,social media,,none
designers,disseminates,printing press,,none
20th century,shaped by,influencers,,none
fashion trends,expresses,cultural identity,,none
Middle Ages,originated from,ready-to-wear,,none
self-expression,promotes,sustainable fashion,,none
designers,inspired by,self-expression,,none
luxurious fabrics,indicates,wealth and status,,none
social commentary,facilitated by,mass production,,none
sumptuary laws,applies to,nobles,,none
fashion industry,influences,ethical sourcing,,none
fashion industry,shapes,fashion magazines,,none
fashion industry,utilizes,social media,,none
designer brands,popularized by,fashion plates,,none
social commentary,reflects,sustainable fashion,,none
common people,contrasts with,royalty,,none
diversity,featured in,fashion magazines,,none
social commentary,represents,self-expression,,none
social media,drives,influencers,,none
self-expression,illustrated by,fashion plates,,none
fashion magazines,dictated by,social hierarchy,,none
fashion plates,depicted in,royalty,,none
upcycling,promoted by,influencers,,none
common people,reflects,social commentary,,none
upcycling,emerged from,20th century,,none
cultural influences,influenced,common people,,none
art and culture,inspired,fashion magazines,,none
social commentary,illustrates,fashion plates,,none
fashion plates,is represented by,social commentary,,none
simpler clothing,produced,fashion industry,,none
simpler clothing,influenced,art and culture,,none
upcycling,reflects,historical evolution,,none
social hierarchy,influences,elaborate garments,,none
iconic figures,inspired,self-expression,,none
social movements,shaped,eclectic styles,,none
cultural influences,influenced,diversity,,none
social movements,influenced,luxury fashion,,none
cultural influences,inspired,fashion plates,,none
democratized fashion,enables,fashion magazines,,none
luxury fashion,showcased,fashion magazines,,none
religion influence,dictated,luxury fashion,,none
individualism,promoted,body positivity,,none
social movements,shaped,influencers,,none
common people,is affected by,social hierarchy,,none
social movements,defined,20th century,,none
fashion magazines,shapes,influencers,,none
iconic figures,represented,social commentary,,none
nobles,is targeted by,fashion magazines,,none
economic factors,shaped,cultural identity,,none
fashion trends,facilitates,mass production,,none
sustainable fashion,promotes,designer brands,,none
religion influence,influenced,influencers,,none
religion influence,dictated,nobles,,none
luxury fashion,contrasted,simpler clothing,,none
cultural identity,informs,designers,,none
art and culture,influenced,cultural influences,,none
iconic figures,inspired,cultural influences,,none
sustainable fashion,is influenced by,fashion trends,,none
Middle Ages,affected,political influences,,none
social movements,shaped,historical evolution,,none
sumptuary laws,reflects,wealth and status,,none
printing press,supports,designer brands,,none
democratized fashion,influenced,cultural influences,,none
sumptuary laws,dictates,Middle Ages,,none
elaborate garments,comprised,luxury fashion,,none
trend dissemination,enabled,mass production,,none
trend dissemination,promoted,sustainable fashion,,none
wealth and status,is represented by,elaborate garments,,none
royalty,contrasted,individualism,,none
trend dissemination,facilitated,self-expression,,none
cultural influences,shaped,individualism,,none
printing press,enabled,luxury fashion,,none
fashion trends,is influenced by,printing press,,none
royalty,worn by,ready-to-wear,,none
sustainable fashion,emerged in,20th century,,none
social commentary,expresses,department stores,,none
ethical sourcing,reflects,wealth and status,,none
luxurious fabrics,made from,fashion industry,,none
art and culture,influenced,luxurious fabrics,,none
printing press,shaped by,influencers,,none
trend dissemination,facilitated,fashion plates,,none
individualism,contrasts with,social hierarchy,,none
fashion plates,influenced by,social media,,none
wealth and status,associated with,fashion magazines,,none
fashion magazines,featured in,social commentary,,none
religion influence,dictated by,wealth and status,,none
social hierarchy,influences,ethical sourcing,,none
elaborate garments,produced by,fashion industry,,none
royalty,worn by,luxurious fabrics,,none
cultural identity,represents,body positivity,,none
art and culture,inspired by,elaborate garments,,none
printing press,facilitated by,historical evolution,,none
luxurious fabrics,designed with,designers,,none
economic factors,enabled by,mass production,,none
trend dissemination,shaped by,iconic figures,,none
cultural identity,influenced by,social movements,,none
wealth and status,associated with,simpler clothing,,none
economic factors,promoted by,sustainable fashion,,none
designers,created by,fashion magazines,,none
religion influence,influenced by,designers,,none
cultural identity,associated with,designer brands,,none
iconic figures,popularized by,upcycling,,none
economic factors,driven by,trend dissemination,,none
Industrial Revolution,facilitated by,printing press,,none
fashion industry,reflects,wealth and status,,none
social commentary,shaped by,cultural influences,,none
religion influence,influenced by,trend dissemination,,none
department stores,facilitated by,trend dissemination,,none
economic factors,influenced by,upcycling,,none
fashion trends,shaped by,social media,,none
social movements,influenced by,fashion plates,,none
designers,designed by,simpler clothing,,none
simpler clothing,associated with,social hierarchy,,none
Industrial Revolution,enabled,mass production,,none
trend dissemination,promoted by,body positivity,,none
luxury fashion,shaped by,social media,,none
art and culture,informed by,social commentary,,none
fashion industry,associated with,department stores,,none
department stores,influenced by,social movements,,none
sustainable fashion,facilitated by,mass production,,none
upcycling,promotes,body positivity,,none
wealth and status,associated with,designers,,none
cultural identity,expressed through,eclectic styles,,none
social movements,represented by,iconic figures,,none
wealth and status,influences,social media,,none
printing press,facilitated by,economic factors,,none
designer brands,offered by,department stores,,none
iconic figures,popularized by,fashion magazines,,none
religion influence,influenced by,iconic figures,,none
recycling,promoted by,trend dissemination,,none
elaborate garments,inspired by,individualism,,none
designer brands,associated with,nobles,,none
designer brands,produced through,mass production,,none
cultural identity,influenced by,influencers,,none
cultural identity,reflects,20th century,,none
mass production,produced by,ready-to-wear,,none
social commentary,democratizes,democratized fashion,,none
self-expression,enables,mass production,,none
sumptuary laws,dictated by,Renaissance period,,none
religion influence,influenced by,fashion magazines,,none
sumptuary laws,applied to,royalty,,none
common people,contrasts with,individualism,,none
social commentary,reflected in,luxurious fabrics,,none
recycling,influenced by,social movements,,none
elaborate garments,inspired by,cultural influences,,none
democratized fashion,shaped by,social media,,none
fashion trends,influenced by,department stores,,none
art and culture,facilitated by,trend dissemination,,none
social hierarchy,associated with,luxurious fabrics,,none
cultural influences,influenced by,trend dissemination,,none
common people,worn by,fashion plates,,none
common people,worn by,luxurious fabrics,,none
upcycling,influences,fashion trends,,none
historical evolution,shaped by,department stores,,none
democratized fashion,facilitated by,trend dissemination,,none
recycling,influences,eclectic styles,,none
historical evolution,shaped by,youth culture,,none
ethical sourcing,associated with,luxury fashion,,none
designer brands,compared to,simpler clothing,,none
self-expression,enabled by,printing press,,none
influencers,shaped by,luxury fashion,,none
fashion industry,influenced by,social movements,,none
art and culture,impacting,fashion industry,,none
fashion plates,depicted in,luxurious fabrics,,none
royalty,worn by,fashion magazines,,none
recycling,shaped by,influencers,,none
royalty,dictated by,religion influence,,none
nobles,associated with,ethical sourcing,,none
fashion magazines,influenced by,eclectic styles,,none
eclectic styles,associated with,luxury fashion,,none
recycling,influenced by,20th century,,none
democratized fashion,shaped by,fashion industry,,none
democratized fashion,influenced by,social movements,,none
religion influence,influenced by,eclectic styles,,none
influencers,shaped by,iconic figures,,none
printing press,enabled,social commentary,,none
