id,label
20th century,20th century
Industrial Revolution,Industrial Revolution
Middle Ages,Middle Ages
Renaissance period,Renaissance period
art and culture,art and culture
body positivity,body positivity
common people,common people
cultural identity,cultural identity
cultural influences,cultural influences
democratized fashion,democratized fashion
department stores,department stores
designer brands,designer brands
designers,designers
diversity,diversity
eclectic styles,eclectic styles
economic factors,economic factors
elaborate garments,elaborate garments
ethical sourcing,ethical sourcing
fashion industry,fashion industry
fashion magazines,fashion magazines
fashion plates,fashion plates
fashion trends,fashion trends
historical evolution,historical evolution
iconic figures,iconic figures
individualism,individualism
influencers,influencers
linen,linen
luxurious fabrics,luxurious fabrics
luxury fashion,luxury fashion
mass production,mass production
nobles,nobles
political influences,political influences
printing press,printing press
ready-to-wear,ready-to-wear
recycling,recycling
religion influence,religion influence
royalty,royalty
self-expression,self-expression
simpler clothing,simpler clothing
social commentary,social commentary
social hierarchy,social hierarchy
social media,social media
social movements,social movements
sumptuary laws,sumptuary laws
sustainable fashion,sustainable fashion
trend dissemination,trend dissemination
upcycling,upcycling
wealth and status,wealth and status
wool,wool
youth culture,youth culture
