source,relation,target
psychological effects,evokes,positivity
happiness,leads to,joy
cool colors,enhanced by,productivity
joy,associated with,serenity
individual experiences,increases,serotonin
color psychology,influenced by,nature
appetite,stimulates,optimism
innocence,associated with,positivity
influence,affects,joy
purity,contrasts with,red
productivity,enhanced by,well-being
warmth,associated with,well-being
passion,associated with,well-being
warm colors,influences,creativity
focus,enhances,innocence
purity,associated with,relaxation
tranquility,promotes,well-being
energy,increases,red
optimism,leads to,joy
death,contrasts with,happiness
red,associated with,universal associations
duality,contrasts with,innocence
relaxation,inhibits,blood pressure
innocence,shapes,individual experiences
appetite,increases,serotonin
urgency,stimulates,productivity
positivity,enhances,creativity
universal associations,influences,well-being
meanings,shapes,well-being
urgency,evokes,red
relaxation,promotes,well-being
duality,contrasts,meanings
mystery,is associated with,colors
authority,is a characteristic of,sophistication
serenity,contrasts with,energy
universal associations,is defined by,emotions
productivity,can enhance,danger
color psychology,is studied in,sadness
relaxation,is influenced by,green
color psychology,is studied in,serotonin
focus,can hinder,mourning
individual experiences,shapes,mystery
cool colors,is affected by,blood pressure
excitement,can evoke,authority
appetite,stimulates,perception
green,is associated with,happiness
red,contrasts with,calming
individual experiences,is influenced by,blood pressure
psychological effects,can lead to,optimism
colors,is influenced by,well-being
excitement,evokes,red
urgency,stimulates,behavior
cool colors,is influenced by,well-being
green,enhances,productivity
focus,supports,peace
duality,contrasts with,mourning
purity,is associated with,appetite
individual experiences,affects,well-being
behavior,evokes,warm colors
color psychology,enhances,focus
urgency,stimulates,heart rate
calming,has an effect on,influence
cultural backgrounds,influences,passion
serenity,promotes,creativity
warm colors,affects,heart rate
cool colors,is influenced by,emotions
white,is associated with,nature
urgency,is studied in,color psychology
sophistication,is linked to,productivity
happiness,is associated with,tranquility
power,is influenced by,emotions
happiness,is linked to,passion
cultural backgrounds,affects,positivity
excitement,is enhanced by,productivity
excitement,is evoked by,warm colors
productivity,is enhanced by,tranquility
happiness,is contrasted with,sadness
warmth,is associated with,tranquility
sophistication,is linked to,cool colors
calming,is studied in,color psychology
productivity,is linked to,passion
urgency,is associated with,authority
warmth,is associated with,passion
colors,is associated with,mourning
red,is associated with,happiness
red,is associated with,serenity
happiness,is linked to,positivity
