id,label
18th century,18th century
20th century,20th century
Blue Origin,Blue Origin
SpaceX,SpaceX
aerial surveys,aerial surveys
airplanes,airplanes
ancient civilizations,ancient civilizations
ancient transportation,ancient transportation
animal transportation,animal transportation
automobiles,automobiles
autonomous vehicles,autonomous vehicles
canals,canals
carbon footprint,carbon footprint
commercial aviation,commercial aviation
commercial spaceflight,commercial spaceflight
commuting,commuting
connectivity,connectivity
cultural exchange,cultural exchange
delivery services,delivery services
digital infrastructure,digital infrastructure
drones,drones
efficiency,efficiency
electric vehicles,electric vehicles
environmental impact,environmental impact
exploration,exploration
goods exchange,goods exchange
high-speed pods,high-speed pods
human exploration,human exploration
hyperloop technology,hyperloop technology
industrial development,industrial development
infrastructure monitoring,infrastructure monitoring
innovation,innovation
interplanetary travel,interplanetary travel
invention of the wheel,invention of the wheel
leisure travel,leisure travel
locomotives,locomotives
long-distance travel,long-distance travel
maritime trade,maritime trade
mass production,mass production
modern technologies,modern technologies
navigation apps,navigation apps
personal transportation,personal transportation
railway networks,railway networks
ride-sharing services,ride-sharing services
sailing ships,sailing ships
smart cities,smart cities
space tourism,space tourism
space travel,space travel
steam engine,steam engine
steamships,steamships
sustainable practices,sustainable practices
technology advancements,technology advancements
trade routes,trade routes
transportation accessibility,transportation accessibility
transportation evolution,transportation evolution
transportation history,transportation history
transportation systems,transportation systems
travel efficiency,travel efficiency
travel times,travel times
urban growth,urban growth
walking,walking
wheeled carts,wheeled carts
