source,relation,target,speaker,role
efficiency,enhances,mass production,,none
canals,facilitates,maritime trade,,none
innovation,revolutionized,steam engine,,none
steam engine,powered by,canals,,none
delivery services,utilizes,airplanes,,none
digital infrastructure,supports,delivery services,,none
trade routes,connected by,locomotives,,none
locomotives,driven by,steam engine,,none
efficiency,drives,urban growth,,none
commercial aviation,facilitates,urban growth,,none
urban growth,benefits from,commercial aviation,,none
cultural exchange,enables,wheeled carts,,none
urban growth,enhances,cultural exchange,,none
commuting,supports,urban growth,,none
urban growth,transforms,ride-sharing services,,none
interplanetary travel,drives,technology advancements,,none
cultural exchange,enables,commercial spaceflight,,none
personal transportation,evolved into,ancient transportation,,none
exploration,enables,goods exchange,,none
electric vehicles,is a type of,high-speed pods,,none
infrastructure monitoring,utilizes,drones,,none
electric vehicles,utilizes,modern technologies,,none
long-distance travel,enables,interplanetary travel,,none
modern technologies,enhances,transportation systems,,none
personal transportation,facilitates,human exploration,,none
personal transportation,is used for,aerial surveys,,none
ancient transportation,precedes,animal transportation,,none
digital infrastructure,supports,aerial surveys,,none
autonomous vehicles,supports,urban growth,,none
travel efficiency,improves,leisure travel,,none
technology advancements,led to,steamships,,none
human exploration,enables,goods exchange,,none
digital infrastructure,integrates with,electric vehicles,,none
digital infrastructure,is enhanced by,transportation systems,,none
wheeled carts,is a predecessor of,delivery services,,none
transportation systems,influences,long-distance travel,,none
carbon footprint,affects,ancient transportation,,none
commercial aviation,improves,efficiency,,none
railway networks,facilitates,goods exchange,,none
steamships,is a type of,railway networks,,none
automobiles,is a component of,transportation systems,,none
infrastructure monitoring,monitors,airplanes,,none
industrial development,enables,human exploration,,none
commercial aviation,enhances,cultural exchange,,none
railway networks,supports,urban growth,,none
carbon footprint,is reduced by,aerial surveys,,none
personal transportation,evolved into,animal transportation,,none
drones,is a part of,transportation systems,,none
transportation history,influences,urban growth,,none
transportation evolution,informs,infrastructure monitoring,,none
wheeled carts,facilitates,commuting,,none
travel times,affects,ancient transportation,,none
modern technologies,is a type of,wheeled carts,,none
transportation history,drives,technology advancements,,none
transportation evolution,improves,travel efficiency,,none
high-speed pods,monitored by,infrastructure monitoring,,none
trade routes,supports,industrial development,,none
canals,influences,ancient transportation,,none
long-distance travel,enables,transportation history,,none
innovation,revolutionized,steamships,,none
digital infrastructure,supports,wheeled carts,,none
modern technologies,enables,commercial spaceflight,,none
autonomous vehicles,enables,ride-sharing services,,none
ride-sharing services,utilizes,autonomous vehicles,,none
drones,evolved from,wheeled carts,,none
wheeled carts,influenced by,drones,,none
modern technologies,drives,autonomous vehicles,,none
autonomous vehicles,utilizes,modern technologies,,none
digital infrastructure,supports,autonomous vehicles,,none
autonomous vehicles,depends on,digital infrastructure,,none
automobiles,preceded by,steam engine,,none
steam engine,influenced by,automobiles,,none
exploration,facilitated by,wheeled carts,,none
efficiency,improved by,wheeled carts,,none
trade routes,enhanced by,navigation apps,,none
navigation apps,utilized by,trade routes,,none
steam engine,aided by,navigation apps,,none
navigation apps,influenced by,steam engine,,none
automobiles,produced by,mass production,,none
smart cities,utilizes,delivery services,,none
efficiency,enhances,space travel,,none
commercial spaceflight,enables,interplanetary travel,,none
autonomous vehicles,supports,interplanetary travel,,none
space travel,expands,commercial aviation,,none
smart cities,integrates with,hyperloop technology,,none
sustainable practices,promotes,delivery services,,none
transportation systems,informs,aerial surveys,,none
smart cities,enhances,railway networks,,none
modern technologies,advances,sustainable practices,,none
human exploration,facilitates,travel times,,none
delivery services,improves,efficiency,,none
digital infrastructure,supports,sustainable practices,,none
wheeled carts,utilizes,aerial surveys,,none
maritime trade,influences,railway networks,,none
commercial aviation,complements,drones,,none
smart cities,utilizes,aerial surveys,,none
delivery services,enhances,ride-sharing services,,none
sustainable practices,drives,hyperloop technology,,none
modern technologies,improves,efficiency,,none
commercial spaceflight,facilitates,aerial surveys,,none
autonomous vehicles,enables,personal transportation,,none
digital infrastructure,enhances,modern technologies,,none
digital infrastructure,improves,efficiency,,none
modern technologies,supports,ride-sharing services,,none
automobiles,enhances,efficiency,,none
electric vehicles,produced by,mass production,,none
autonomous vehicles,reduces,carbon footprint,,none
automobiles,competes with,railway networks,,none
digital infrastructure,enhances,ride-sharing services,,none
trade routes,facilitates,exploration,,none
navigation apps,utilizes,innovation,,none
steam engine,enables,exploration,,none
mass production,drives,hyperloop technology,,none
airplanes,expands into,space travel,,none
modern technologies,integrates with,smart cities,,none
personal transportation,influences,transportation systems,,none
trade routes,supports,human exploration,,none
steam engine,contributes to,human exploration,,none
digital infrastructure,enhances,smart cities,,none
personal transportation,enables,high-speed pods,,none
sustainable practices,improves,transportation systems,,none
carbon footprint,mitigates,commercial spaceflight,,none
maritime trade,affects,travel times,,none
smart cities,utilizes,autonomous vehicles,,none
space tourism,promotes,space travel,,none
electric vehicles,supports,delivery services,,none
high-speed pods,reduces,carbon footprint,,none
drones,influences,airplanes,,none
steamships,transported by,canals,,none
electric vehicles,advances,hyperloop technology,,none
carbon footprint,affected by,travel times,,none
sustainable practices,influences,wheeled carts,,none
travel times,improves,high-speed pods,,none
mass production,facilitates,high-speed pods,,none
space travel,impacts,carbon footprint,,none
electric vehicles,enhances,efficiency,,none
sustainable practices,supports,commercial spaceflight,,none
trade routes,facilitated by,maritime trade,,none
steam engine,revolutionized,maritime trade,,none
space tourism,enhances,drones,,none
space tourism,benefits from,commercial aviation,,none
wheeled carts,enabled by,mass production,,none
electric vehicles,transforms,transportation systems,,none
ride-sharing services,enables,personal transportation,,none
interplanetary travel,facilitates,human exploration,,none
railway networks,supports,transportation systems,,none
trade routes,connects,canals,,none
travel times,reduces,ride-sharing services,,none
steamships,enables,exploration,,none
carbon footprint,mitigates,modern technologies,,none
maritime trade,enhances,transportation systems,,none
digital infrastructure,supports,commercial aviation,,none
transportation systems,enables,space travel,,none
hyperloop technology,improves,personal transportation,,none
digital infrastructure,enhances,drones,,none
digital infrastructure,reduces,carbon footprint,,none
steamships,facilitates,human exploration,,none
delivery services,utilizes,high-speed pods,,none
transportation systems,supports,commercial spaceflight,,none
hyperloop technology,reduces,carbon footprint,,none
transportation systems,supports,high-speed pods,,none
transportation systems,influences,travel times,,none
digital infrastructure,supports,high-speed pods,,none
carbon footprint,reduces,efficiency,,none
railway networks,enabled by,steam engine,,none
innovation,facilitates,interplanetary travel,,none
carbon footprint,impacts,commercial aviation,,none
interplanetary travel,is a form of,space travel,,none
electric vehicles,is related to,space travel,,none
ride-sharing services,utilizes,hyperloop technology,,none
wheeled carts,evolved from,high-speed pods,,none
carbon footprint,contributes to,wheeled carts,,none
trade routes,connected by,railway networks,,none
interplanetary travel,enhanced by,navigation apps,,none
steamships,supported,maritime trade,,none
travel times,reduces,commercial aviation,,none
mass production,enables,commercial aviation,,none
trade routes,drives,innovation,,none
high-speed pods,is a component of,commercial spaceflight,,none
efficiency,improves,sustainable practices,,none
efficiency,enhances,ride-sharing services,,none
environmental impact,reduces,electric vehicles,,none
commercial aviation,facilitates,long-distance travel,,none
sustainable practices,promotes,ride-sharing services,,none
wheeled carts,enables,long-distance travel,,none
urban growth,drives,hyperloop technology,,none
automobiles,competes with,locomotives,,none
modern technologies,includes,airplanes,,none
connectivity,enhances,aerial surveys,,none
autonomous vehicles,improves,travel efficiency,,none
interplanetary travel,enables,drones,,none
mass production,produced by,autonomous vehicles,,none
transportation evolution,influences,maritime trade,,none
personal transportation,facilitates,commercial spaceflight,,none
space tourism,is a goal of,interplanetary travel,,none
innovation,transforms,personal transportation,,none
travel times,affects,leisure travel,,none
airplanes,supports,leisure travel,,none
airplanes,supports,digital infrastructure,,none
transportation accessibility,enhances,exploration,,none
efficiency,improves,long-distance travel,,none
aerial surveys,utilizes,space travel,,none
transportation systems,supports,commuting,,none
infrastructure monitoring,enhances,travel efficiency,,none
transportation accessibility,enables,commercial spaceflight,,none
infrastructure monitoring,facilitates,mass production,,none
travel times,affects,railway networks,,none
transportation evolution,influences,leisure travel,,none
railway networks,enhances,travel efficiency,,none
ride-sharing services,improves,transportation systems,,none
mass production,enables,railway networks,,none
mass production,promotes,cultural exchange,,none
industrial development,drives,transportation systems,,none
personal transportation,enhances,travel times,,none
modern technologies,includes,space tourism,,none
electric vehicles,supports,urban growth,,none
commercial aviation,supports,delivery services,,none
mass production,enables,commuting,,none
maritime trade,enhances,travel efficiency,,none
innovation,reduces,carbon footprint,,none
transportation evolution,influences,personal transportation,,none
transportation evolution,transforms,automobiles,,none
commercial spaceflight,enhances,travel efficiency,,none
canals,facilitates,goods exchange,,none
innovation,improves,travel times,,none
urban growth,supports,aerial surveys,,none
goods exchange,enables,wheeled carts,,none
long-distance travel,supports,human exploration,,none
innovation,drives,technology advancements,,none
urban growth,influences,transportation systems,,none
leisure travel,enhances,technology advancements,,none
high-speed pods,improves,travel efficiency,,none
connectivity,enables,commercial spaceflight,,none
transportation systems,utilizes,wheeled carts,,none
railway networks,improves,efficiency,,none
delivery services,facilitates,personal transportation,,none
maritime trade,enhances,efficiency,,none
maritime trade,supports,automobiles,,none
hyperloop technology,enables,commercial spaceflight,,none
ancient civilizations,nurtured,canals,,none
sustainable practices,influences,space travel,,none
ride-sharing services,transforms,space travel,,none
locomotives,utilizes,railway networks,,none
interplanetary travel,enables,exploration,,none
hyperloop technology,reduced by,travel times,,none
wheeled carts,historically precedes,commercial aviation,,none
modern technologies,enhances,personal transportation,,none
environmental impact,affects,commercial aviation,,none
airplanes,influences,hyperloop technology,,none
locomotives,supports,maritime trade,,none
delivery services,reduces,carbon footprint,,none
environmental impact,utilizes,drones,,none
transportation evolution,influences,hyperloop technology,,none
transportation history,historically significant to,canals,,none
digital infrastructure,supports,personal transportation,,none
ancient civilizations,developed by,ancient transportation,,none
efficiency,improves,travel times,,none
delivery services,affects,travel times,,none
transportation evolution,shaped by,modern technologies,,none
industrial development,enhances,travel efficiency,,none
delivery services,enables,mass production,,none
smart cities,integrates with,high-speed pods,,none
industrial development,enables,mass production,,none
space tourism,facilitates,delivery services,,none
airplanes,improves,efficiency,,none
animal transportation,improves,transportation accessibility,,none
high-speed pods,utilizes,ride-sharing services,,none
drones,enhances,personal transportation,,none
commuting,increases,carbon footprint,,none
environmental impact,drives,urban growth,,none
transportation evolution,supports,digital infrastructure,,none
long-distance travel,affects,carbon footprint,,none
sustainable practices,utilizes,drones,,none
drones,supports,sustainable practices,,none
delivery services,facilitates,long-distance travel,,none
modern technologies,reduces,travel times,,none
modern technologies,enables,mass production,,none
transportation history,informs,ancient transportation,,none
connectivity,enables,goods exchange,,none
trade routes,facilitates,steamships,,none
exploration,enhances,personal transportation,,none
personal transportation,improves,efficiency,,none
goods exchange,utilizes,steamships,,none
ancient transportation,enables,exploration,,none
digital infrastructure,influences,travel times,,none
digital infrastructure,improves,travel efficiency,,none
digital infrastructure,supports,mass production,,none
modern technologies,transforms,long-distance travel,,none
mass production,enables,personal transportation,,none
transportation evolution,enhances,aerial surveys,,none
industrial development,utilizes,steamships,,none
transportation systems,comprises,airplanes,,none
long-distance travel,enables,technology advancements,,none
technology advancements,depends on,long-distance travel,,none
transportation accessibility,improves,commuting,,none
commuting,requires,transportation accessibility,,none
carbon footprint,reduces,travel efficiency,,none
travel efficiency,is affected by,carbon footprint,,none
smart cities,integrates,ride-sharing services,,none
drones,affects,travel times,,none
drones,enhances,travel efficiency,,none
travel efficiency,is influenced by,drones,,none
hyperloop technology,improves,travel efficiency,,none
travel efficiency,is a factor in,hyperloop technology,,none
ancient transportation,facilitates,human exploration,,none
transportation evolution,drives,transportation systems,,none
transportation systems,is influenced by,transportation evolution,,none
digital infrastructure,supports,long-distance travel,,none
long-distance travel,is enhanced by,digital infrastructure,,none
exploration,reduces,carbon footprint,,none
carbon footprint,impacts,transportation systems,,none
innovation,inspired,wheeled carts,,none
automobiles,enables,long-distance travel,,none
long-distance travel,is reliant on,automobiles,,none
environmental impact,affects,cultural exchange,,none
cultural exchange,is shaped by,environmental impact,,none
carbon footprint,contributes to,mass production,,none
railway networks,contributes to,industrial development,,none
industrial development,is supported by,railway networks,,none
environmental impact,impacts,transportation accessibility,,none
transportation accessibility,is influenced by,environmental impact,,none
environmental impact,affects,commuting,,none
commuting,is shaped by,environmental impact,,none
animal transportation,enables,space tourism,,none
space tourism,is supported by,animal transportation,,none
walking,the earliest form of,personal transportation,,none
ancient transportation,includes,walking,,none
invention of the wheel,led to,wheeled carts,,none
sailing ships,enables,exploration,,none
steamships,were created in,18th century,,none
steam engine,was created in,18th century,,none
automobiles,dominate travel in,20th century,,none
airplanes,dominate travel in,20th century,,none
SpaceX,enables,space travel,,none
Blue Origin,enables,space travel,,none
